section.ID,Weight_gram,Weight_filter,Weight_final
DD-1-42,0.195,0.679,0.7013
DD-1-41,0.4454,0.6645,0.7083
DD-1-40,0.2554,0.5873,0.612
DD-1-39,0.2119,0.7461,0.7823
DD-1-38,0.1714,0.614,0.6327
DD-1-37,0.1894,0.6203,0.6462
DD-1-36,0.1988,0.7532,0.7876
DD-1-35,0.2974,0.747,0.8241
DD-1-34,0.217,0.6218,0.6559
DD-1-33,0.1631,0.5771,0.5968
DD-1-32,0.302,0.6646,0.6869
DD-1-31,0.3622,0.7057,0.736
DD-1-30,0.159,0.7262,0.7559
DD-1-29,0.2071,0.6448,0.676
DD-1-28,0.46,0.7212,0.7949
DD-1-27,0.2961,0.75,0.7724
DD-1-26,0.1765,0.7251,0.7632
DD-1-25,0.2179,0.7429,0.7521
DD-1-24,0.444,0.6604,0.6718
DD-1-23,0.3415,0.7362,0.8293
DD-1-22,0.1663,0.5489,0.5584
DD-1-21,0.278,0.7484,0.7851
DD-1-20,0.3081,0.6972,0.7273
DD-1-19,0.499,0.7127,0.7258
DD-1-18,0.2014,0.5567,0.5698
DD-1-17,0.2613,0.7215,0.7373
DD-1-16,0.4436,0.6429,0.6619
DD-1-15,0.544,0.6563,0.6665
DD-1-14,0.2998,0.637,0.6423
DD-1-13,0.3429,0.6265,0.6368
DD-1-12,0.6224,0.6553,0.6618
DD-1-11,0.487,0.7334,0.7479
DD-1-10,0.3175,0.6663,0.6736
DD-1-9,0.2727,0.6539,0.6598
DD-1-8,0.2688,0.7645,0.7702
DD-1-7,0.2812,0.5998,0.6054
DD-1-6,0.4215,0.6309,0.6466
DD-1-5,0.5514,0.6941,0.7094
DD-1-4,0.446,0.6163,0.6327
DD-1-3,0.648,0.7205,0.7354
DD-1-2,0.6388,0.7035,0.7196
DD-1-1,0.4945,0.6266,0.6411
