ID,d13C
SS,-26.5325030547
SS,-26.482664977
SS,-26.4615794209
TeL,-11.660468163
TeL,-11.5735750041
TeL,-11.9141087876
Urea,-47.3375063383
Urea,-47.1344524643
Urea,-47.3412988669
TeL,-11.7323857047
TeL,-11.6027244965
Urea,-47.2674202134
Urea,-47.3226948126
SS,-26.4241002938
SS,-26.4984246479
TeL,-11.6028229499
TeL,-11.509245664
Urea,-47.3503085466
Urea,-47.2588806913
SS,-26.5475953099
SS,-26.4497006212
TeL,-12.4053659586
TeL,-12.0020170476
Urea,-46.7363654199
Urea,-47.3755534381
SS,-26.4050784597
SS,-26.4101852967
TeL,-12.2931076123
TeL,-12.6864057489
Urea,-45.3940431343
Urea,-45.0098839082
SS,-26.3608053509
SS,-26.3781363819
