section.ID,d13C
DD-1-33,-32.34281132
DD-1-25,-27.7238102112
DD-1-36,-31.4500020436
DD-1-17,-27.4078074304
DD-1-18,-27.6578097566
DD-1-15,-27.8460255145
DD-1-38,-31.1683103652
DD-1-35,-32.1253342754
DD-1-26,-32.8626813071
DD-1-5,-27.8814243423
DD-1-39,-31.6445368098
DD-1-42,-31.3421046764
DD-1-27,-32.699431338
DD-1-23,-29.8856689583
DD-1-31,-32.3329330901
DD-1-13,-27.7846910423
DD-1-14,-27.5386930689
DD-1-4,-27.1232244692
DD-1-24,-27.5929060136
DD-1-16,-28.2285043762
DD-1-40,-30.9778211564
DD-1-34,-31.8952054973
DD-1-21,-28.3533369389
DD-1-28,-27.8355914538
DD-1-29,-27.6858126788
DD-1-32,-31.8575217827
DD-1-1,-28.0117836265
DD-1-41,-30.2463900111
DD-1-37,-31.8275098876
DD-1-11,-27.8076980653
DD-1-6,-27.915368459
DD-1-8,-27.9253063487
DD-1-7,-27.4230632571
DD-1-30,-33.2959362843
DD-1-9,-28.0322228985
DD-1-20,-27.6338673341
DD-1-3,-27.3959242742
Fe80,-27.0875195194
Fe79,-25.8511810267
Fe93,-29.4711617404
Fe89,-29.5119235841
Fe74,-26.5465247305
Fe97,-31.0040188504
Fe84,-26.3369446034
Fe94,-28.4569691695
Fe81,-26.8335025546
Fe91,-28.9129811881
Fe90,-29.3300751776
Fe78,-25.3822057893
Fe100,-32.2257451143
Fe83,-26.7889438941
Fe66,-26.3174515047
Fe68b,-24.9393562633
Fe92,-29.1637305317
Fe95,-30.4405054678
Fe73,-25.38901411
Fe96,-31.922372867
Fe88,-26.8707464447
Fe76b,-26.8779101536
Fe68c,-25.0857890367
Fe72,-25.3180098819
Fe99,-31.3328090847
Fe71,-24.9782662493
Fe103,-29.8191055713
Fe82,-26.9231961158
Fe68a,-24.9849631996
Fe75,-26.6924855354
Fe102,-30.1663269632
Fe101,-31.8568104376
Fe77,-25.3792271245
Fe85,-26.8704197448
Fe98,-31.379604
Fe86,-26.2722329512
Fe69a,-25.1154032358
Fe87,-26.8118596011
Fe69b,-24.9847503625
Fe70,-25.2666319902
DD-1-19,-27.9316144046
DD-1-2,-27.4846127853
DD-1-10,-27.7251331408
DD-1-12,-27.998364312
