ID,Abs,RSD,ppm,V
Blank,0.0015558734,83.7320862,0,200
Standard 1,0.0765948445,0.829174936,1,200
Standard 2,0.220380828,0.776461065,3,200
Standard 3,0.344404399,0.25156799,5,200
Standard 4,0.459965646,0.24707891,7,200
Standard 5,0.604975462,0.357093245,10,200
QC Blank,0.0014669072,51.0979195,-0.0011856002,200
QC Check 5,0.352402568,0.557011306,5.12046862,200
MS_Fe_106R,0.0225058161,2.85805535,0.2791875,200
MS_Fe_107R,0.0675518289,0.542958319,0.879489064,200
MS_Fe_108R,0.0272544604,2.41508532,0.342469871,200
MS_Fe_109R,0.0219280664,3.10428929,0.27148816,200
MS_Fe_110,0.280373514,0.17023246,3.89158201,200
MS_Fe_111R,0.0294372328,0.974231541,0.371558398,200
MS_Fe_112R,0.0913778916,0.879604101,1.19871771,200
MS_Fe_113R,0.0174958482,1.67713428,0.212422624,200
MS_Fe_114R,0.0451119281,0.94426477,0.580445766,200
MS_Fe_115R,0.0400340147,0.0866587907,0.512775421,200
QC Blank,0.0022331826,16.6551285,0.0090260981,200
QC Check 5,0.345187515,1.26481128,5.0089817,200
MS_Fe_116,0.0276112985,1.08333886,0.347225249,200
MS_Fe_117,0.01510303,1.80068135,0.180534944,200
MS_Fe_118,0.0416843966,0.705216289,0.534769118,200
MS_Fe_119,0.024588095,0.865209281,0.3069368,200
MS_Fe_120,0.103844754,1.57820439,1.36860871,200
MS_Fe_121R,0.0175052211,2.54765058,0.212547526,200
MS_Fe_122,0.0319495052,1.39743054,0.405037969,200
MS_Fe_123R,0.016956348,2.6770978,0.205233023,200
MS_Fe_124R,0.0678501949,1.23729229,0.88346523,200
MS_Fe_125,0.0846293196,0.302773684,1.10708082,200
QC Check 5,0.347824007,0.671166539,5.04854441,200
QC Blank,0.0028334209,28.8441963,0.0170251187,200
MS_Fe_126,0.0164191499,3.13977075,0.198074102,200
MS_Fe_127,0.0420728624,0.079760626,0.53994596,200
MS_Fe_128R,0.0631457493,1.02765799,0.820771873,200
MS_Fe_129R,0.0430831239,2.56009102,0.5534091,200
MS_Fe_130,0.165972084,0.910283327,2.22614813,200
MS_Fe_131,0.0297214948,3.73590779,0.375346571,200
MS_Fe_132,0.0348179489,2.21162629,0.443264008,200
MS_Fe_133,0.009065601,7.36601543,0.100077696,200
MS_Fe_134,0.23654376,0.394435078,3.23065877,200
MS_Fe_135,0.0576395877,0.765555263,0.747394502,200
QC Check 5,0.348232985,1.52308536,5.05487633,200
QC Blank,0.0021717688,14.3992577,0.0082076732,200
MS_Fe_136,0.0096770963,6.51023769,0.108226731,200
MS_Fe_137,0.100370981,0.181769773,1.32122183,200
MS_Fe_138,0.339533031,1.1649251,4.90749264,200
MS_Fe_139,0.019096259,3.26416707,0.233750343,200
MS_Fe_140,0.0087468941,15.4260263,0.0958304778,200
MS_Fe_141,0.0062854304,24.8543758,0.0630280077,200
MS_Fe_142,0.0082164947,4.65272808,0.0887621641,200
MS_Fe_143,0.024148453,2.79649282,0.301077962,200
MS_Fe_144,0.0130110523,3.8604548,0.152656391,200
QC Check 5,0.345284343,0.728116989,5.01035309,200
QC Blank,0.001174297,30.1363468,-0.0050850441,200
MS_Fe_145,0.0143890949,2.75866556,0.171020761,200
MS_Fe_146,0.0798775479,0.352814853,1.04294276,200
MS_Fe_147,0.105365403,1.65090084,1.38936102,200
MS_Fe_148,0.0109673403,7.68284321,0.125421062,200
MS_Fe_149,0.0106629254,5.46381378,0.121364295,200
MS_Fe_150,0.100310132,0.811581433,1.32039201,200
MS_Fe_151,0.0732666403,0.865523994,0.955646992,200
MS_Fe_152,0.0117200436,4.80885267,0.135451883,200
MS_Fe_153,0.123532303,0.47477898,1.63756764,200
MS_Fe_154,0.0114854369,3.5428822,0.132325426,200
QC Check 5,0.348506629,0.776667893,5.05912781,200
QC Blank,0.0019481422,43.8110046,0.0052275336,200
MS_Fe_155,0.0073713022,15.4053545,0.0774987787,200
MS_Fe_156,0.0081235515,1.50078094,0.0875235647,200
MS_Fe_157,0.172360688,1.05703449,2.31649423,200
MS_Fe_158,0.0436961576,1.2485981,0.561578631,200
MS_Fe_159,0.0500998795,0.725624263,0.646917284,200
MS_Fe_160,0.0243842788,0.387656569,0.304220647,200
MS_Fe_161,0.230329931,0.375766307,3.13862705,200
MS_Fe_162,0.0054806368,12.5481081,0.0523030013,200
MS_Fe_163,0.005059707,11.9056473,0.0466935188,200
MS_Fe_164,0.0033146774,22.411972,0.0234385412,200
QC Check 5,0.349162847,0.249416873,5.06936359,200
QC Blank,0.0024450831,48.5937042,0.0118499715,200
MS_Fe_165,0.0026943071,15.2620821,0.0151712326,200
MS_Fe_166,0.0036007455,10.6526489,0.0272508003,200
MS_Fe_167,0.0031439441,20.8902321,0.0211632792,200
