ID,Abs,RSD,ppm,V
Blank,0.0035826499,32.8153458,0,500
Standard 1,0.0580428019,1.70461321,1,500
Standard 2,0.160134107,1.33688593,3,500
Standard 3,0.260454893,0.987630963,5,500
Standard 4,0.351501018,0.488162369,7,500
Standard 5,0.47425741,1.46868563,10,500
QC Blank,0.0034966548,8.5893774,-0.0015790457,500
QC Check 5,0.260447174,1.06258667,4.99969482,500
MS_BH_1,0.0348748192,1.84822655,0.574588358,500
MS_BH_2,0.0254478157,2.26894212,0.401489258,500
MS_BH_3,0.0421309285,2.19883585,0.707825422,500
MS_BH_4,0.0215065517,2.38732004,0.329119563,500
MS_BH_5,0.0179069564,4.82560062,0.263023615,500
MS_BH_6,0.0387469381,1.8621788,0.645688415,500
MS_BH_7,0.0508390181,1.30728447,0.867723763,500
MS_BH_8R,0.026713023,4.07770872,0.424721062,500
MS_BH_9,0.038888026,1.02383959,0.648279071,500
MS_BH_10,0.0160539206,2.42684889,0.228998095,500
QC Blank,0.004502329,17.4479961,0.0168871954,500
QC Check 5,0.26077354,0.460969061,5.00440884,500
MS_BH_11,0.0443670005,0.927882135,0.748884261,500
MS_BH_12,0.0390593745,0.55977577,0.651425362,500
MS_BH_13,0.0388375968,1.86119843,0.647353053,500
MS_BH_14,0.0324532166,4.06030178,0.530122757,500
MS_BH_15,0.0699644312,1.43980467,1.22231281,500
MS_BH_16,0.244429126,0.602923214,4.66986036,500
MS_BH_17,0.407470852,0.405256033,8.26106167,500
MS_BH_18,0.0362013094,3.93354869,0.598945439,500
MS_BH_19,0.0300101936,3.53253698,0.485263854,500
MS_BH_20,0.101881102,0.997037649,1.83081889,500
QC Check 5,0.258816242,1.08341813,4.96476316,500
QC Blank,0.0020077031,87.5456696,-0.0289192516,500
MS_BH_21,0.0998351499,1.72483516,1.7917093,500
MS_BH_22,0.0995262191,0.623861074,1.78580463,500
MS_BH_23,0.0414835066,1.99731243,0.695937395,500
MS_BH_24,0.0247560386,5.18862629,0.388786823,500
MS_BH_25,0.021594502,3.17277765,0.330734521,500
MS_BH_26,0.0473141149,1.04475844,0.802999318,500
MS_BH_27,0.425907344,0.390467972,8.72257805,500
MS_BH_28,0.332165629,1.00752389,6.54450226,500
MS_BH_29,0.0544635504,4.14865828,0.934277594,500
MS_BH_30,0.0229480378,2.73317528,0.355588198,500
QC Check 5,0.262771308,0.908210397,5.04298449,500
QC Blank,0.0018728497,15.0247488,-0.0313954353,500
MS_BH_31,0.0794737935,1.59068012,1.40310276,500
MS_BH_32,0.0262360536,4.00519276,0.415962905,500
MS_BH_33,0.0734225065,1.57968795,1.28796685,500
MS_BH_34,0.0473528653,1.0534035,0.803710878,500
MS_BH_35,0.0547841787,1.59544849,0.940164983,500
MS_BH_36,0.0554496273,1.70456946,0.952383995,500
MS_BH_37,0.0547311194,1.08165181,0.939190745,500
MS_BH_38,0.061326813,1.2072835,1.05935073,500
MS_BH_39,0.033444874,2.3753655,0.548331618,500
MS_BH_40,0.040743161,0.169565827,0.682343125,500
QC Check 5,0.0021039606,23.1313839,-0.0271517653,500
QC Check 5,0.261836588,0.340534925,5.02450609,500
QC Blank,0.0031206748,41.2390442,-0.0084828101,500
MS_BH_41,0.0333286785,1.87782013,0.54619807,500
MS_BH_42,0.0177940708,4.69556761,0.260950804,500
MS_BH_43,0.158248857,0.264154255,2.95947623,500
MS_BH_44,0.0409822576,2.10892892,0.686733425,500
MS_BH_45,0.0738602281,0.689657211,1.29628599,500
MS_BH_46,0.0589816608,0.564393103,1.01597846,500
MS_BH_47,0.0505447574,1.17823255,0.862320542,500
MS_BH_48,0.115576386,0.643011212,2.09877419,500
MS_BH_49,0.111797929,0.620571434,2.0229845,500
MS_BH_50,0.0981947556,0.604180992,1.76035833,500
QC Check 5,0.263948351,0.252756685,5.06663179,500
QC Blank,0.0029068026,18.1597137,-0.0124099413,500
MS_BH_51,0.146093294,0.401474148,2.71240401,500
MS_BH_52,0.12834771,2.15137839,2.35516548,500
MS_BH_53,0.274067909,0.549102247,5.27486515,500
MS_BH_54,0.109453321,0.63487649,1.97596729,500
MS_BH_55,0.0889111087,0.337827623,1.58305204,500
MS_BH_56,0.0657791346,0.837885082,1.14307952,500
MS_BH_57,0.0792126954,1.20404243,1.39813006,500
MS_BH_58,0.0636226982,0.827376246,1.10241616,500
MS_BH_59,0.0921708643,0.945773244,1.64528334,500
MS_BH_60,0.0899175107,0.896134853,1.60226166,500
QC Check 5,0.261176974,1.50448895,5.01180983,500
QC Blank,0.0042911563,12.4183989,0.0130096301,500
MS_BH_61,0.0806460679,0.672111034,1.42543399,500
MS_BH_62,0.0326921791,3.682307,0.534510612,500
MS_BH_63,0.0425111242,0.683980942,0.714806557,500
MS_BH_64,0.0431453772,1.58030093,0.726452768,500
MS_BH_65,0.161979929,1.51785755,3.03404641,500
MS_BH_66,0.104170211,0.609334171,1.87458587,500
MS_BH_67R,0.0919930339,0.74867332,1.64188755,500
MS_BH_68,0.0981422439,0.636072636,1.75935483,500
MS_BH_69,0.0431314372,1.71482134,0.726196766,500
MS_BH_70,0.054857485,0.631578028,0.941511035,500
QC Check 5,0.268178165,1.05638885,5.1530385,500
QC Blank,0.005071485,14.2434635,0.0273380633,500
MS_BH_71,0.0538658649,0.446157157,0.923302889,500
MS_BH_72,0.0445424467,1.99102283,0.752105832,500
MS_BH_73,0.0362707041,2.94585657,0.600219667,500
MS_BH_74,0.0791016817,1.83442795,1.39601588,500
MS_BH_75,0.0588281415,2.68582106,1.01319969,500
MS_BH_76,0.0384515449,1.04024875,0.640264392,500
MS_BH_77,0.0508037396,1.56810617,0.86707598,500
MS_BH_78,0.0610498302,1.19462383,1.05418098,500
MS_BH_79,0.0732321069,0.38392809,1.28434885,500
MS_BH_80,0.0782059804,1.95333767,1.37896025,500
QC Check 5,0.260753751,0.206920043,5.00406218,500
QC Blank,0.0043407478,17.7844276,0.0139202327,500
MS_BH_81,0.0542978868,1.27978706,0.931235671,500
MS_BH_82,0.0640315562,1.39038599,1.11011374,500
MS_BH_83,0.101046272,1.02707887,1.81485963,500
MS_BH_84,0.0509895124,2.56472254,0.870487154,500
MS_BH_85,0.0955054462,1.30059898,1.70897329,500
MS_BH_86,0.171986401,0.754578769,3.22759271,500
MS_BH_87,0.103958227,1.53329563,1.87053239,500
MS_BH_88,0.244561404,0.975852728,4.67255735,500
MS_BH_89,0.0455196835,0.741287231,0.77004987,500
MS_BH_90,0.0337676778,2.10435534,0.554259002,500
