ID,Abs,RSD,ppm,V
Blank,0.000670652,132.305252,0,200
Standard 1,0.07690464,0.672135234,1,200
Standard 2,0.217088833,0.365889192,3,200
Standard 3,0.345448405,0.756500483,5,200
Standard 4,0.458764821,0.433903128,7,200
Standard 5,0.598574877,0.611959398,10,200
QC Blank,5.77E-05,1629.51648,-0.008040685,200
QC Check 5,0.343713611,0.80705893,4.96716738,200
MS_Fe_106R,0.384408444,0.46493426,5.62289667,600
MS_Fe_107R,0.377999663,0.575387537,5.51765251,200
MS_Fe_108R,0.294418514,0.483988434,4.15376663,200
MS_Fe_109R,0.509969175,0.43049857,7.95120668,200
MS_Fe_111R,0.011145607,5.94220829,0.137405306,200
MS_Fe_112R,0.065977529,1.68889546,0.856663525,200
MS_Fe_113R,0.077688381,1.21709406,1.00882649,200
MS_Fe_114R,0.344785601,0.719582558,4.98627949,200
MS_Fe_115R,0.067617282,1.30611563,0.878172994,200
QC Blank,-0.002508991,12.4065351,-0.041709002,200
QC Check 5,0.341129035,0.989753842,4.92279625,200
MS_Fe_116,0.061082095,0.625968635,0.792447627,200
MS_Fe_117,0.014300982,4.94744062,0.178795964,200
MS_Fe_118,0.176928446,1.07135558,2.40024757,200
MS_Fe_119,0.034587555,0.954877317,0.444905251,200
MS_Fe_120,0.129621759,0.282960773,1.71949577,200
MS_Fe_121R,0.024609225,0.858089924,0.314014435,200
MS_Fe_122,0.197096184,0.796659589,2.69826388,200
MS_Fe_123R,0.016105693,2.12901735,0.202469274,200
MS_Fe_124R,0.069104753,0.286215752,0.897684932,200
MS_Fe_125,0.147710666,0.237123981,1.97021043,200
QC Check 5,0.339130312,1.63636494,4.88906288,200
QC Blank,-0.002679252,38.9197655,-0.043942396,200
MS_Fe_126,0.068318918,1.68506205,0.887376726,200
MS_Fe_127,0.121842057,0.746048987,1.61207914,200
MS_Fe_128R,0.049523097,0.789926708,0.640822351,200
MS_Fe_129R,0.064097665,1.03365684,0.832004428,200
MS_Fe_130,0.032298673,3.24338865,0.414880842,200
MS_Fe_131,0.017434722,2.87670279,0.219902828,200
MS_Fe_132,0.021562204,2.0438025,0.27404511,200
MS_Fe_133,0.001801375,29.8424149,0.014832259,200
MS_Fe_134,0.104797594,0.281516492,1.377226,200
MS_Fe_135,0.016105322,2.54055238,0.202464417,200
QC Check 5,0.33635065,1.02928638,4.84253788,200
QC Check 5,0.341301709,0.786054611,4.92572689,200
QC Blank,-0.002503401,15.2483959,-0.041635677,200
MS_Fe_136,0.138147995,0.705713809,1.83732939,200
MS_Fe_137,0.118774824,0.378993899,1.56976056,200
MS_Fe_138,0.531190038,0.385934323,8.37336159,200
MS_Fe_139,0.137775764,0.642985463,1.832183,200
MS_Fe_140,0.093126118,0.820192635,1.21708,200
MS_Fe_141,0.048162524,1.225968,0.622975051,200
MS_Fe_142,0.074611455,1.20823109,0.969919145,200
MS_Fe_143,0.124099314,1.9130075,1.64323449,200
MS_Fe_144,0.147756204,1.46865499,1.97087979,200
MS_Fe_145,0.150925174,0.630535185,2.01746511,200
QC Check 5,0.342283964,0.786214113,4.9424696,200
QC Blank,-0.001436836,54.8864021,-0.027645003,200
MS_Fe_146,0.163224846,0.863802433,2.19839072,200
MS_Fe_147,0.4285267,0.203925505,6.41235209,200
MS_Fe_148,0.082080141,0.467819214,1.0668782,200
MS_Fe_149,0.043557733,0.774480641,0.562571645,200
MS_Fe_150,0.109559998,0.71352303,1.44276047,200
MS_Fe_151,0.137978658,0.762010992,1.83498812,200
MS_Fe_152,0.099215992,0.607225239,1.30053973,200
MS_Fe_153,0.141667619,0.367390513,1.88599885,200
MS_Fe_154,0.13310799,0.989498973,1.76766348,200
MS_Fe_155,0.059590221,0.689649105,0.772877932,200
QC Check 5,0.337254047,0.596797407,4.85762215,200
QC Blank,-0.002256308,9.19090271,-0.038394429,200
MS_Fe_156,0.001343348,45.7709961,0.008824092,200
MS_Fe_157,0.030679382,2.80932808,0.393639773,200
MS_Fe_158,0.036876112,3.82451916,0.474925429,200
Sample ID 54,0.011071868,2.01081753,0.136438042,200
MS_Fe_160,0.033924989,3.94575906,0.43621406,200
MS_Fe_161,0.102417834,1.23885548,1.3445121,200
MS_Fe_162,0.012053192,6.08945084,0.149310559,200
MS_Fe_163,0.004515605,14.1861286,0.050436202,200
MS_Fe_164,0.007147637,7.05155993,0.084961899,200
MS_Fe_165,0.003337843,32.3928566,0.034986891,200
QC Check 5,0.338669181,0.474538684,4.88131905,200
QC Blank,-0.002778549,9.91430664,-0.045244928,200
MS_Fe_166,0.004314363,4.0390296,0.047796402,200
MS_Fe_167,0.011885203,4.32805729,0.14710696,200
MS_Fe_168,0.009506791,2.58703947,0.115908124,200
MS_Fe_169,0.00720145,30.3543816,0.085667796,200
MS_Fe_171,0.007146551,1.67774367,0.084947661,200
MS_Fe_172,0.006864443,7.88211823,0.081247106,200
MS_Fe_173,-0.000652536,172.437759,-0.017356928,200
MS_Fe_174,0.010610393,5.00003195,0.130384639,200
MS_Fe_175,0.005067501,6.75737095,0.057675704,200
MS_Fe_176,0.011814452,6.33359909,0.146178886,200
QC Check 5,0.340610921,0.695500016,4.91402054,200
QC Blank,-0.003485981,6.51573753,-0.054524671,200
MS_Fe_177,0.009337471,7.39302683,0.113687068,200
MS_Fe_178,0.026287938,1.19322753,0.336034954,200
MS_Fe_179,0.014545764,6.20736074,0.182006896,200
MS_Fe_180,0.042311896,3.09167147,0.546229362,200
MS_Fe_181,0.014413373,5.52949572,0.180270255,200
MS_Fe_182,0.008500687,1.41229618,0.102710545,200
MS_Fe_183,0.025008263,1.60729361,0.319248825,200
MS_Fe_184,0.018525431,8.74219227,0.234210223,200
