ID,Abs,RSD,ppm,V
Blank,-0.000552542,48.8630714,0,200
Standard 1,0.11231339,0.145609483,1,200
Standard 2,0.324237883,0.214210421,3,200
Standard 3,0.506258965,0.317374021,5,200
Standard 4,0.650225699,0.042563599,7,200
Standard 5,0.81784761,0.432398885,10,200
QC Blank,-0.000592986,55.8894768,-0.000358331,200
QC Check 5,0.49852103,0.686831951,4.89921904,200
MS1,0.074889839,0.197872952,0.668424726,200
MS2,0.090027466,0.674996018,0.80254519,200
MS3,0.097893879,0.259103954,0.872242153,200
MS_Fe_4,0.054664787,0.792458773,0.489229381,200
MS_Fe_5,0.043902621,0.743890584,0.393875837,200
MS_Fe_6,0.416537255,0.356569201,3.93136501,200
MS_Fe_7,0.081535861,0.360038996,0.727308929,200
MS_Fe_8,0.324957848,0.712350845,3.00385809,200
MS_Fe_9,0.116667159,0.501047552,1.03735995,200
MS_Fe_10,0.071341835,0.106702372,0.636989176,200
QC Blank,-0.00065544,53.4325104,-0.00091168,200
QC Check 5,0.500105858,0.862937212,4.91868258,200
MS_Fe_11,0.302408516,0.036832567,2.78389812,200
MS_Fe_12,0.057476662,0.130695075,0.514142811,200
MS_Fe_13,0.074493967,0.156454906,0.66491729,200
MS_Fe_14,0.27872315,0.893710792,2.55387211,200
MS_Fe_15,0.069323048,0.119467475,0.619102597,200
MS_Fe_16,0.077354871,0.783433378,0.690265119,200
MS_Fe_17,0.062795997,0.207206443,0.561272442,200
MS_Fe_18,0.138400987,0.646410644,1.2348448,200
MS_Fe_19,0.054483336,0.61664623,0.487621695,200
MS_Fe_20,0.072401375,1.25490558,0.646376789,200
QC Blank,-0.000296815,34.016613,0.002265761,200
QC Check 5,0.499578565,0.699551046,4.91218948,200
MS_Fe_21,0.067750156,0.39227587,0.605166674,200
MS_Fe_22,0.086616688,0.851976275,0.772325456,200
MS_Fe_23,0.054013394,0.984441221,0.483457983,200
MS_Fe_24,0.283551842,0.264601916,2.6006856,200
MS_Fe_25,0.118525334,0.48944506,1.05402517,200
MS_Fe_26,0.462746143,0.15166162,4.47295475,200
MS_Fe_27,0.067323901,0.351572722,0.601390004,200
MS_Fe_28,0.073181272,0.541512012,0.653286695,200
MS_Fe_29,0.180038527,0.552679241,1.61714506,200
MS_Fe_30,0.077056937,1.46205008,0.687625349,200
QC Blank,0.0000746,177.137466,0.005556693,200
QC Check 5,0.503875494,0.417159736,4.96594381,200
MS_Fe_31,0.238906384,0.558943093,2.16866183,200
MS_Fe_32,0.187656015,0.775498867,1.68726528,200
MS_Fe_33,0.167338461,0.657512188,1.50032902,200
MS_Fe_34,0.091116518,0.616146445,0.812194228,200
MS_Fe_35,0.092906132,0.344074219,0.828050375,200
MS_Fe_36,0.075779669,0.501889408,0.676308692,200
MS_Fe_37,0.231177509,0.391762853,2.09399867,200
MS_Fe_38,0.0730059,1.04689538,0.651732922,200
MS_Fe_39,0.205984414,0.519157588,1.85610819,200
MS_Fe_40,0.204327464,0.410624951,1.84083784,200
QC Blank,0.000103436,163.094162,0.005812017,200
QC Check 5,0.506136715,0.338100255,4.99706697,200
MS_Fe_41,0.08670003,0.423472166,0.773063838,200
MS_Fe_42,0.078895457,0.529982507,0.703914821,200
MS_Fe_43,0.09093111,0.96062392,0.810551524,200
MS_Fe_44,0.078991853,0.240195662,0.704768836,200
MS_Fe_45,0.072547838,0.700779319,0.647674441,200
MS_Fe_46,0.070999183,0.47398904,0.633953273,200
MS_Fe_47,0.080744676,1.22709274,0.720299006,200
MS_Fe_48,0.102663524,0.528359711,0.914501548,200
MS_Fe_49,0.077554002,0.679418385,0.692029417,200
MS_Fe_50,0.101766318,0.279929399,0.906552196,200
QC Blank,0.001037669,20.4725628,0.014089382,200
QC Check 5,0.50726217,0.352782786,5.00485373,200
MS_Fe_51,0.073161125,0.204047054,0.653108239,200
MS_Fe_52,0.091632798,0.651097775,0.816768527,200
MS_Fe_53,0.097714812,0.564906955,0.870655596,200
MS_Fe_54,0.105136074,0.386173874,0.93640846,200
MS_Fe_55,0.099796705,0.336718738,0.889101326,200
MS_Fe_56,0.099437803,0.527955592,0.885921419,200
MS_Fe_57,0.10245768,0.404016525,0.912677705,200
MS_Fe_58,0.109244592,0.320985734,0.972810268,200
MS_Fe_59,0.079323024,0.710299194,0.707703054,200
MS_Fe_60,0.327032775,0.208092138,3.02209187,200
QC Blank,0.000257005,124.643715,0.007172642,200
QC Check 5,0.508948386,0.552324831,5.02148962,200
