ID,ppm
MS_P_1,0
MS_P_2,0
MS_P_3,0
MS_P_4,0
MS_P_5,0
MS_P_6,0
MS_P_7,0
MS_P_8,0
MS_P_9,0
MS_P_10,0
MS_P_11,0
MS_P_12,0
MS_P_13,0
MS_P_14,0
MS_P_15,0
MS_P_16,0
MS_P_17,0
MS_P_18,0
MS_P_19,0
MS_P_20,0
MS_P_21,0
MS_P_22,0
MS_P_23,0
MS_P_24,0
MS_P_25,0
MS_P_26,0
MS_P_27,0
MS_P_28,0
MS_P_29,0
MS_P_30,0
MS_P_31,0
MS_P_32,0
MS_P_33,0
MS_P_34,0
MS_P_35,0
MS_P_36,0
MS_P_37,0.05334
MS_P_38,0
MS_P_39,0
MS_P_40,0
MS_P_41,0
MS_P_42,0
MS_P_43,0
MS_P_44,0.03633
MS_P_45,0
MS_P_46,0
MS_P_47,0
MS_P_48,0
MS_P_49,0
MS_P_50,0
MS_P_51,0
MS_P_52,0
MS_P_53,0
MS_P_54,0
MS_P_55,0
MS_P_56,0
MS_P_57,0
MS_P_58,0
MS_P_59,0
MS_P_60,0
MS_P_61,0
MS_P_62,0
MS_P_63,0
MS_P_64,0
MS_P_65,0
MS_P_66,0
MS_P_67,0
MS_P_68,0
MS_P_69,0
MS_P_70,0
MS_P_71,0
MS_P_72,0
MS_P_73,0
MS_P_74,0
MS_P_75,0
MS_P_76,0
MS_P_77,0
MS_P_78,0
MS_P_79,0
MS_P_80,0
