ID,ppm
MS_P_1,0.07192
MS_P_2,0.0723
MS_P_3,0.05857
MS_P_4,0.04553
MS_P_5,0.05256
MS_P_6,0
MS_P_7,0.05956
MS_P_8,0
MS_P_9,0.04401
MS_P_10,0.05509
MS_P_11,0
MS_P_12,0
MS_P_13,0
MS_P_14,0
MS_P_15,0
MS_P_16,0
MS_P_17,0.09846
MS_P_18,0
MS_P_19,0.05426
MS_P_20,0
MS_P_21,0.04509
MS_P_22,0.06668
MS_P_23,0.08753
MS_P_24,0.20196
MS_P_25,0.05202
MS_P_26,0
MS_P_27,0.0622
MS_P_28,0.04209
MS_P_29,0.03552
MS_P_30,0.05856
MS_P_31,0.04482
MS_P_32,0.0447
MS_P_33,0
MS_P_34,0.04766
MS_P_35,0.06856
MS_P_36,0.0521
MS_P_37,0
MS_P_38,0.04589
MS_P_39,0.04655
MS_P_40,0.05259
MS_P_41,0.03959
MS_P_42,0.05783
MS_P_43,0.04814
MS_P_44,0.06865
MS_P_45,0
MS_P_46,0
MS_P_47,0.06665
MS_P_48,0.04406
MS_P_49,0
MS_P_50,0
MS_P_51,0
MS_P_52,0
MS_P_53,0
MS_P_54,0
MS_P_55,0
MS_P_56,0
MS_P_57,0
MS_P_58,0
MS_P_59,0.04988
MS_P_60,0
MS_P_61,0.0368
MS_P_62,0.05881
MS_P_63,0.06977
MS_P_64,0.05966
MS_P_65,0.07386
MS_P_66,0.07609
MS_P_67,0.05791
MS_P_68,0.08951
MS_P_69,0.25362
MS_P_70,0.21632
MS_P_71,0.19255
MS_P_72,0.277
MS_P_73,0.17581
MS_P_74,0.20273
MS_P_75,0.38473
MS_P_76,0.22568
MS_P_77,0.32349
MS_P_78,0.3544
MS_P_79,0.39162
MS_P_80,0.44895
