ID,ppm
MS_P_81,0
MS_P_82,0
MS_P_83,0
MS_P_84,0
MS_P_87,0
MS_P_88,0
MS_P_89,0
MS_P_90,0
MS_P_91,0
MS_P_92,0
MS_P_93,0
MS_P_94,0
MS_P_96,0
MS_P_97,0
MS_P_98,0
MS_P_99,0
MS_P_100,0
MS_P_101,0.13
MS_P_102,0
MS_P_103,0
MS_P_104,0.164
MS_P_106,0
MS_P_108,0
MS_P_109,0.119
MS_P_110,0.112
MS_P_111,0
MS_P_112,0
MS_P_113,0
MS_P_114,0
MS_P_115,0
MS_P_117,0
MS_P_118,0
MS_P_119,0
MS_P_120,0
MS_P_121,0.34007
MS_P_122,0.53831
MS_P_123,0.663
MS_P_124,0.16123
MS_P_125,0.09923
MS_P_126,0.03987
MS_P_127,0.47087
MS_P_128,0.0416
MS_P_129,0.04078
MS_P_130,0.06551
MS_P_131,0.03282
MS_P_132,0.1125
MS_P_133,0.23582
MS_P_134,0.0814
MS_P_135,0.33539
MS_P_136,0.44939
MS_P_137,0.22428
MS_P_138,0.29616
MS_P_139,0
MS_P_140,1.64818
MS_P_141,0.49483
MS_P_142,0.28985
MS_P_143,0.57068
MS_P_144,0.23347
MS_P_145,0.34984
MS_P_146,0.29544
MS_P_147,0.24767
MS_P_148,0.32548
MS_P_149,0.1914
MS_P_150,0.16835
MS_P_151,0.31215
MS_P_152,0
MS_P_153,0
MS_P_154,0
MS_P_155,0.18003
MS_P_156,0.39433
MS_P_157,0.35003
MS_P_158,0
MS_P_159,0.06274
MS_P_160,0
MS_P_161,0.39578
MS_P_162,0
MS_P_163,0.04364
MS_P_164,0.02593
MS_P_165,0.31518
MS_P_166,0.03867
MS_P_167,0.01964
MS_P_168,0.31935
MS_P_169,0
MS_P_170,0
MS_P_171,0.49517
MS_P_172,0.04858
MS_P_173,0.1025
MS_P_174,0.08952
