section.ID,Weight_gram,Weight_filter,Weight_final
Fe100,0.2905,0.5458,0.596
Fe101,0.719,0.4562,0.5593
Fe102,0.3949,0.657,0.6959
Fe103,2.0392,0.638,0.8824
Fe66,0.434,0.5578,0.5656
Fe68a,0.4196,0.5052,0.5112
Fe68b,1.8873,0.7153,0.7326
Fe68c,0.3664,0.645,0.6561
Fe69a,0.3395,0.5206,0.5304
Fe69b,0.9346,0.565,0.586
Fe70,1.9657,0.57,0.5963
Fe71,1.2316,0.6451,0.6719
Fe72,0.8287,0.6432,0.6678
Fe73,0.382,0.5212,0.5318
Fe74,0.3208,0.6822,0.6937
Fe75,0.424,0.6267,0.6321
Fe76b,0.281,0.6496,0.6538
Fe77,1.9528,0.72,0.7361
Fe78,1.0023,0.4893,0.4942
Fe79,0.4044,0.5057,0.5084
Fe80,2.1833,0.6486,0.6757
Fe81,0.8516,0.6476,0.673
Fe82,0.439,0.4839,0.4995
Fe83,0.9185,0.5125,0.5259
Fe84,0.9634,0.609,0.6248
Fe85,2.3484,0.6243,0.6705
Fe86,2.265,0.7092,0.7388
Fe87,0.3542,0.9759,0.9835
Fe88,0.9646,0.4583,0.4909
Fe89,1.9696,0.4853,0.5234
Fe90,1.9869,0.6153,0.6508
Fe91,1.4662,0.5088,0.5412
Fe92,0.4977,0.6658,0.6725
Fe93,1.618,0.515,0.54
Fe94,2.948,0.5549,0.5711
Fe95,3.026,0.6471,0.7735
Fe96,0.3943,0.4913,0.5545
Fe97,0.8388,0.4957,0.584
Fe98,1.8241,0.5238,0.7395
Fe99,0.283,0.6374,0.6683
