ID,Abs,RSD,ppm,V
Blank,0.000158844,39.3614235,0,200
Standard 1,0.127580792,0.434391379,1,200
Standard 2,0.349628925,1.02308989,3,200
Standard 3,0.544639647,0.67083919,5,200
Standard 4,0.696471035,0.465808034,7,200
Standard 5,0.853067219,0.073022343,10,200
QC Blank,0.000609551,12.4226789,0.003537128,200
QC Check 5,0.541606486,0.931988716,4.95964527,200
MS1,0.052186132,1.00776112,0.408307105,200
MS2,0.097734533,0.675758004,0.76576829,200
MS3,0.029504381,0.872207701,0.230302066,200
MS_Fe_4,0.042382415,0.509322405,0.331368119,200
MS_Fe_5,0.034947209,0.727155268,0.273017049,200
MS_Fe_6,0.414914489,0.303854197,3.60324883,200
MS_Fe_7,0.069494963,0.705172837,0.544145823,200
MS_Fe_8,0.353985608,0.433106512,3.03326917,200
MS_Fe_9,0.072707959,0.599061072,0.56936121,200
MS_Fe_10,0.046984758,0.916521668,0.367487043,200
QC Blank,0.00040068,15.4265757,0.001897921,200
QC Check 5,0.544146538,0.933481038,4.99154806,200
MS_Fe_11,0.545320392,0.162902549,5.00143051,200
MS_Fe_12,0.069236167,0.30227077,0.542114794,200
MS_Fe_13,0.046906583,1.14498329,0.366873533,200
MS_Fe_14,0.089531265,0.479345232,0.701389551,200
MS_Fe_15,0.041327834,0.338113874,0.323091835,200
MS_Fe_16,0.060443055,0.552087188,0.47310698,200
MS_Fe_17,0.040401589,1.39979959,0.315822721,200
MS_Fe_18,0.122865148,0.317716062,0.962991893,200
MS_Fe_19,0.053269725,0.355024159,0.416811109,200
MS_Fe_20,0.059218578,0.433699816,0.463497341,200
QC Blank,0.000423146,138.837006,0.002074233,200
QC Check 5,0.533728004,0.198209628,4.86819506,200
MS_Fe_21,0.036786653,0.518407047,0.287452906,200
MS_Fe_22,0.069316283,0.769543529,0.542743564,200
MS_Fe_23,0.040906254,1.01133537,0.3197833,200
MS_Fe_24,0.08057747,0.677779257,0.631120682,200
MS_Fe_25,0.079474881,0.484801531,0.622467637,200
MS_Fe_26,0.577449322,0.189051911,5.35296679,200
MS_Fe_27,0.057591409,0.772476733,0.450727403,200
MS_Fe_28,0.041918825,0.312385798,0.327729911,200
MS_Fe_29,0.061394643,0.940239012,0.480574965,200
MS_Fe_30,0.056795966,1.14084244,0.44448483,200
QC Blank,0.000599528,7.01623011,0.003458465,200
QC Check 5,0.530931652,0.259375662,4.83643627,200
Blank,0.001032702,13.19032,0,200
Standard 1,0.126918063,0.793065012,1,200
Standard 2,0.343609542,0.354098678,3,200
Standard 3,0.534446537,0.369876653,5,200
Standard 4,0.430629581,82.3381195,7,200
Standard 5,0.838274598,0.638662875,10,200
Blank,0.000451014,55.4343681,0,200
Standard 1,0.126222447,0.810436249,1,200
Standard 2,0.341487914,0.465503424,3,200
Standard 3,0.548739374,0.544628739,5,200
Standard 4,0.681797564,0.631309152,7,200
Standard 5,0.837455988,0.218516991,10,200
QC Check 5,0.548508048,0.541658521,4.99644852,200
MS_Fe_31,0.140408039,0.622992814,1.11395514,200
MS_Fe_32,0.08153984,1.07202804,0.644731641,200
MS_Fe_33,0.121758394,0.459336281,0.964506626,200
MS_Fe_34,0.047043521,0.447316229,0.370453805,200
MS_Fe_35,0.091052629,0.938573122,0.720367193,200
MS_Fe_36,0.056653217,0.212375864,0.446859837,200
MS_Fe_37,0.220358431,0.352674574,1.80935133,200
MS_Fe_38,0.053917628,0.714934289,0.425109357,200
MS_Fe_39,0.12583594,1.40548658,0.996926904,200
MS_Fe_40,0.530260682,0.311355352,4.80566454,200
QC Blank,0.0005581,20.6609077,0.000851439,200
QC Check 5,0.533470094,0.83199656,4.83848572,200
Blank,0.000588783,48.6521568,0,200
Standard 1,0.12661919,0.347497225,1,200
Standard 2,0.342815161,0.839739501,3,200
Standard 3,0.528906226,0.127285108,5,200
Standard 4,0.68439132,0.903525114,7,200
Standard 5,0.837711334,0.188467726,10,200
QC Check 5,0.523100913,0.418553442,4.92196131,200
MS_Fe_42,0.023973608,0.882072747,0.18554908,200
MS_Fe_43,0.031032518,1.27788162,0.241558656,200
MS_Fe_44,0.026246533,0.387165338,0.203583807,200
MS_Fe_45,0.023667177,1.16746783,0.183117673,200
MS_Fe_46,0.023167796,1.36535847,0.17915529,200
MS_Fe_59,0.001388579,13.2879429,0.00634606,200
MS_Fe_48,0.074495986,0.982611716,0.586423576,200
QC Blank,-0.0000917,649.773315,-0.005399269,200
QC Check 5,0.448041052,30.052681,4.04062176,200
