ID,Abs,RSD,ppm,V
Blank,0.000548216,53.9141808,0,200
Standard 1,0.126862258,0.429696292,1,200
Standard 2,0.346976668,0.542770684,3,200
Standard 3,0.511699617,0.582584918,5,200
Standard 4,0.681753278,0.335146189,7,200
Standard 5,0.841464579,0.229225844,10,200
QC Blank,0.000790923,14.624239,0.001921457,200
QC Check 5,0.512100697,0.738194525,5.00247145,200
MS1,0.038281634,0.198201284,0.298727036,200
MS2,0.062431991,0.929465652,0.48991999,200
MS3,0.028207449,0.463502377,0.218971968,200
MS_Fe_4,0.032678351,0.424533606,0.254367083,200
MS_Fe_5,0.038260941,1.24155903,0.298563212,200
MS_Fe_6,0.066430859,0.475427717,0.521578133,200
MS_Fe_7,0.03181871,0.955229938,0.247561499,200
MS_Fe_8,0.072923876,1.1538291,0.572981894,200
MS_Fe_9,0.079938829,0.854083061,0.628517687,200
QC Blank,0.001071088,32.1946831,0.004139466,200
QC Check 5,0.508374751,0.526443422,4.94154596,200
MS_Fe_10,0.04151449,0.84182173,0.324320823,200
QC Blank,0.002761203,40.0881004,0.017039765,200
QC Check 5,0.343423307,0.949773073,4.0866251,200
Blank,0.001266193,15.0052996,0,200
Standard 1,0.126878574,0.754746616,1,200
Standard 2,0.345161676,0.82777971,3,200
Standard 3,0.517126799,0.921540618,5,200
Standard 4,0.679855525,0.117451139,7,200
Standard 5,0.843383551,0.285719931,10,200
QC Check 5,0.517369628,0.377295285,5.00041294,200
MS_Fe_40,0.080122218,0.379177421,0.627772689,200
MS_Fe_41,0.024787797,0.870385289,0.187255457,200
MS_Fe_42,0.022113787,0.448683321,0.165967673,200
MS_Fe_43,0.027235145,0.809593081,0.2067388,200
MS_Fe_44,0.022781329,0.685130656,0.171281978,200
MS_Fe_45,0.020010948,1.42388904,0.149226978,200
MS_Fe_46,0.020356298,2.05913472,0.151976302,200
MS_Fe_47,0.055052366,1.15286529,0.428191662,200
MS_Fe_48,0.072707586,0.288522363,0.568744838,200
MS_Fe_49,0.050383464,0.103140265,0.391022533,200
QC Blank,0.001832152,10.5010099,0.004505599,200
QC Check 5,0.517555892,0.150450408,5.00179672,200
MS_Fe_50,0.069665641,1.23547196,0.544527888,200
MS_Fe_51,0.050810721,0.974594355,0.394423932,200
MS_Fe_52,0.064972453,0.102977507,0.507165432,200
MS_Fe_53,0.028531328,0.887380123,0.217057705,200
MS_Fe_54,0.031207671,1.73751652,0.238364071,200
MS_Fe_55,0.029011214,0.856026769,0.22087808,200
MS_Fe_56,0.029536089,1.4196558,0.225056604,200
MS_Fe_57,0.031423781,1.39550912,0.240084514,200
MS_Fe_58,0.032518715,1.02787614,0.248801291,200
MS_Fe_59,0.009347097,0.322114915,0.064332068,200
QC Blank,0.00125405,22.6305504,-0.0000967,200
QC Check 5,0.51700896,0.769560635,4.99609709,200
MS_Fe_60,0.156693891,0.492575616,1.24709153,200
MS_Fe_39,0.043471478,1.2244817,0.335996211,200
MS_Fe_38,0.038996425,0.956851721,0.300370336,200
MS_Fe_37,0.061255336,0.742254138,0.477573484,200
MS_Fe_36,0.039519589,1.3907311,0.30453524,200
MS_Fe_35,0.041850001,1.21694851,0.323087633,200
MS_Fe_34,0.029513115,1.29535103,0.224873707,200
MS_Fe_33,0.04587815,0.684903562,0.355155736,200
MS_Fe_32,0.084000222,0.272650808,0.658645511,200
MS_Fe_31,0.050308876,23.8043766,0.390428722,200
QC Blank,0.001442384,19.4749947,0.001402658,200
QC Check 5,0.518964589,0.954606116,5.01487064,200
MS_Fe_30,0.043062121,1.31191111,0.332737327,200
MS_Fe_29,0.040071379,0.166147098,0.308928043,200
MS_Fe_28,0.025971403,0.29886651,0.196678147,200
MS_Fe_27,0.026779365,0.143191636,0.203110322,200
MS_Fe_26,0.075771213,0.350690335,0.593134344,200
MS_Fe_25,0.040670738,0.66735369,0.313699543,200
MS_Fe_24,0.022824777,1.32325149,0.171627864,200
MS_Fe_23,0.115416534,0.303856522,0.908750713,200
MS_Fe_22,0.03448873,0.999803305,0.264484584,200
MS_Fe_21,0.022221088,0.81837219,0.166821897,200
QC Blank,0.001403399,21.4843616,0.001092302,200
QC Check 5,0.520144999,0.337563872,5.02684212,200
MS_Fe_20,0.028787483,0.320020407,0.219096959,200
MS_Fe_19,0.120986134,1.06611586,0.95309031,200
MS_Fe_18,0.04576169,1.15564942,0.354228586,200
MS_Fe_17,0.021253092,0.879706621,0.159115687,200
MS_Fe_16,0.023501836,0.890435696,0.177017927,200
MS_Fe_15,0.036097214,0.716845453,0.277289718,200
MS_Fe_14,0.067284375,0.2798118,0.525570691,200
MS_Fe_13,0.05424878,1.19169664,0.421794295,200
MS_Fe_12,0.200392425,0.088321865,1.62458038,200
MS_Fe_11,0.079972886,0.469437152,0.626583874,200
QC Blank,0.001039873,18.2756367,-0.00180173,200
QC Check 5,0.524270296,0.660237551,5.07065153,200
