ID,Abs,RSD,ppm,V
Blank,-0.0006176871,47.8796654,0,200
Standard 1,0.0824283138,0.393491507,1,200
Standard 2,0.239838958,0.325304896,3,200
Standard 3,0.381662577,0.229247108,5,200
Standard 4,0.499883235,0.405780017,7,200
Standard 5,0.651472092,0.199916422,10,200
QC Blank,0.000646816,43.3824272,0.0152265383,200
QC Check 5,0.387409031,0.266968399,5.07497501,200
MS_Fe_242,0.0100434525,3.86489654,0.12837632,200
MS_Fe_243,0.0100192437,1.92017853,0.128084809,200
MS_Fe_244,0.0271099098,1.21868896,0.333882391,200
MS_Fe_245,0.0054627745,11.5832138,0.0732179955,200
MS_Fe_246,0.00486633,3.15726614,0.0660358965,200
MS_Fe_247,0.0270900335,0.869273007,0.333643049,200
MS_Fe_248,0.0059047616,3.66430163,0.0785401911,200
MS_Fe_249,0.0049645561,2.51555538,0.0672186837,200
MS_Fe_250,0.0076686828,2.59318662,0.0997804776,200
MS_Fe_251,0.0119384183,1.21539927,0.151194587,200
QC Blank,0.0010514704,33.2198029,0.020099191,200
QC Check 5,0.387684315,0.221785977,5.07897758,200
MS_Fe_252,0.0178959593,2.26742864,0.222932428,200
MS_Fe_253,0.0028989797,2.60400248,0.0423460081,200
MS_Fe_254,0.0071222,2.05003238,0.0931999981,200
MS_Fe_255,0.0080284467,4.00139427,0.104112588,200
MS_Fe_256,0.0033926887,1.48731148,0.0482910164,200
MS_Fe_257,0.0051318305,9.12810135,0.0692329258,200
MS_Fe_258,0.0030048965,19.518198,0.0436214097,200
MS_Fe_259,0.0042461245,6.86491108,0.0585676804,200
MS_Fe_260,0.032970611,0.64367944,0.404454142,200
MS_Fe_261,0.0052273586,5.44146633,0.0703832284,200
QC Blank,0.0012512707,27.5900059,0.0225050896,200
QC Check 5,0.388207287,0.0968633667,5.08660555,200
MS_Fe_262,0.0052220346,6.55221891,0.0703191236,200
MS_Fe_263,0.0392855257,0.765256047,0.480495304,200
MS_Fe_264,0.0064581633,5.08769131,0.0852039829,200
MS_Fe_265,0.0054302407,8.30061626,0.0728262365,200
MS_Fe_266,0.0107149659,1.01899993,0.136462361,200
MS_Fe_267,0.0467374213,0.308280319,0.570227444,200
MS_Fe_268,0.0093759103,4.46528816,0.12033809,200
MS_Fe_269,0.0022726825,8.69856167,0.034804441,200
MS_Fe_270,0.001724475,2.70555854,0.0282031894,200
MS_Fe_271,0.0076849214,3.07651258,0.0999760181,200
QC Blank,0.001022193,16.7998867,0.0197466463,200
QC Check 5,0.388089031,0.320042193,5.08487797,200
MS_Fe_272,0.0944893733,0.472744852,1.14612556,200
MS_Fe_273,0.008998787,3.57861614,0.115796953,200
MS_Fe_274,0.004151505,6.46502924,0.0574283153,200
MS_Fe_275,0.0123806885,1.30229473,0.156520188,200
MS_Fe_276,0.0037458222,4.66949892,0.0525432788,200
MS_Fe_277,0.0035674155,9.93682671,0.0503949933,200
MS_Fe_278,0.0037525769,2.40130115,0.0526246168,200
MS_Fe_279,0.0328387208,1.09118652,0.402865976,200
MS_Fe_280,0.0077701341,5.92860603,0.101002112,200
MS_Fe_281,0.191412404,0.404899687,2.36642075,200
QC Blank,0.0015891963,31.9145889,0.026574228,200
QC Check 5,0.384616852,0.122459166,5.03510475,200
MS_Fe_282,0.0027872366,14.5459356,0.0410004519,200
MS_Fe_283,0.0126674054,1.34216857,0.159972697,200
MS_Fe_284,0.0082658595,5.89174128,0.106971398,200
MS_Fe_285,0.0213580225,1.76980257,0.26462093,200
MS_Fe_286,0.0179681852,1.68968606,0.223802134,200
MS_Fe_287,0.0056239716,2.76576304,0.0751590505,200
MS_Fe_288,0.0054877759,4.1574893,0.0735190511,200
MS_Fe_289,0.0149853788,4.20789337,0.187884614,200
MS_Fe_290,0.010739658,1.41550899,0.136759683,200
MS_Fe_291,0.0422839522,0.0211424828,0.516600907,200
QC Blank,0.0009847009,20.1944504,0.0192951839,200
QC Check 5,0.389480948,0.443728477,5.105299,200
MS_Fe_292,0.021380838,3.87442994,0.264895648,200
MS_Fe_293,0.0231853165,1.33231199,0.286624312,200
MS_Fe_294,0.0481373817,1.05161273,0.587085068,200
MS_Fe_295,0.007613543,2.75370121,0.0991165116,200
MS_Fe_296,0.042609334,1.01637268,0.520519018,200
MS_Fe_297,0.017360637,1.55693853,0.216486335,200
MS_Fe_298,0.0139039205,2.07594943,0.174862221,200
MS_Fe_299,0.0079918057,2.84381986,0.103671372,200
MS_Fe_300,0.0194589235,1.65591395,0.241752893,200
MS_Fe_301,0.0120030614,2.54843068,0.151972979,200
QC Blank,0.0005996564,33.6850128,0.0146586644,200
QC Check 5,0.388548076,0.244986624,5.09159231,200
MS_Fe_302,0.051520206,0.604303539,0.627819419,200
MS_Fe_303,0.0265550856,1.19330931,0.327201456,200
MS_Fe_304,0.0048352401,3.51473308,0.0656615272,200
MS_Fe_305,0.0574434549,0.933548212,0.699144363,200
MS_Fe_306,0.0752366185,0.67899394,0.913401067,200
MS_Fe_307,0.0482741594,1.08419645,0.588732123,200
MS_Fe_308,0.117928378,0.467253089,1.43638062,200
MS_Fe_309,0.0133931274,2.14343262,0.168711483,200
MS_Fe_310,0.0127721196,1.6847564,0.161233619,200
MS_Fe_311,0.0097438246,1.56638563,0.124768339,200
QC Blank,0.000897093,53.2802658,0.0182402525,200
QC Check 5,0.384078741,0.415996253,5.02765894,200
MS_Fe_312,0.0515147746,0.947116435,0.627754033,200
MS_Fe_313,0.0049307947,5.48816872,0.0668121502,200
MS_Fe_314,0.0546361022,0.47096476,0.66533953,200
MS_Fe_315,0.0078731962,3.44480801,0.102243133,200
MS_Fe_316,0.0270237699,0.452160895,0.332845122,200
MS_Fe_317,0.0899550989,0.261680722,1.09034193,200
MS_Fe_318,0.0282366127,0.726251423,0.347449601,200
MS_Fe_319,0.219148219,0.522450745,2.72697639,200
MS_Fe_320,0.0072170468,3.79282904,0.0943420976,200
MS_Fe_321,0.0286646914,0.62919873,0.35260433,200
QC Blank,0.0015453851,34.7893677,0.0260466747,200
QC Check 5,0.388291448,0.445935696,5.08783627,200
MS_Fe_322,0.0097357566,1.39724422,0.124671191,200
MS_Fe_323,0.0475638211,1.65144992,0.580178559,200
MS_Fe_324,0.0242630206,1.62363601,0.299601525,200
MS_Fe_325,0.0133907218,2.77632189,0.168682516,200
MS_Fe_326,0.0111947292,1.13991737,0.142239437,200
MS_Fe_327,0.0133202784,2.75027299,0.167834282,200
MS_Fe_328,0.030627491,0.249205858,0.376239419,200
MS_Fe_329,0.0273721088,1.65328121,0.337039649,200
MS_Fe_330,0.0094603691,0.561826885,0.121355109,200
MS_Fe_331,0.213218898,0.513298035,2.64975667,200
QC Blank,0.0009011038,11.3123617,0.018288549,200
QC Check 5,0.388435572,0.353755623,5.08994484,200
MS_Fe_332,0.0031946306,12.545105,0.0459060967,200
