ID,Abs,RSD,ppm,V
Blank,4.31816989E-05,1270.36658,0,200
Standard 1,0.0901899114,0.585665524,1,200
Standard 2,0.250691295,0.39726004,3,200
Standard 3,0.41654408,0.377252072,5,200
Standard 4,0.510028601,0.424348593,7,200
Standard 5,0.660484612,0.0684428439,10,200
QC Blank,0.0010061878,15.9788942,0.0106826508,200
QC Check 5,0.413962871,1.01630878,4.96766043,200
MS_Fe_242,0.0601549819,0.414164662,0.666821778,200
MS_Fe_243,0.0540285073,0.101816803,0.598860621,200
MS_Fe_244,0.211555034,0.394875914,2.47977567,200
MS_Fe_245,0.0525128134,0.747349203,0.582046986,200
MS_Fe_246,0.0566472672,0.831683099,0.627910554,200
MS_Fe_247,0.0817977935,0.618586302,0.906906009,200
MS_Fe_248,0.0334946997,0.224337965,0.371078551,200
MS_Fe_249,0.096055761,0.542551219,1.06366825,200
MS_Fe_250,0.0234411564,0.990830421,0.259554327,200
MS_Fe_251,0.0710866898,0.127968028,0.788087487,200
QC Blank,0.0003261274,203.877411,0.0031387236,200
QC Check 5,0.411338478,0.0769585297,4.93539524,200
MS_Fe_252,0.0519503094,1.19276655,0.575807095,200
MS_Fe_253,0.0302653722,1.59418511,0.335255533,200
MS_Fe_254,0.0834588408,0.656846702,0.925332069,200
MS_Fe_255,0.0409769006,0.559016645,0.454078794,200
MS_Fe_256,0.0724792182,0.767534494,0.803534806,200
MS_Fe_257,0.0593326613,0.916356981,0.657699704,200
MS_Fe_258,0.029253738,2.09469557,0.324033469,200
MS_Fe_259,0.0360638276,1.24227834,0.399577945,200
MS_Fe_260,0.125784546,0.767745972,1.41309273,200
MS_Fe_261,0.005102721,12.1199722,0.0561255999,200
QC Blank,-0.0002948072,30.1681461,-0.0037493191,200
QC Check 5,0.407325238,0.521459937,4.88623285,200
MS_Fe_262,0.0439341776,0.214694217,0.486883938,200
MS_Fe_263,0.382847339,0.909729123,4.58755445,200
MS_Fe_264,0.045189213,0.96770364,0.500806093,200
MS_Fe_265,0.0233000349,0.435242534,0.25798887,200
MS_Fe_266,0.082934469,0.316463321,0.919515193,200
MS_Fe_267,0.415375948,0.631066263,4.98513746,200
MS_Fe_268,0.0311756413,0.738956034,0.345353186,200
MS_Fe_269,0.0085010557,2.70178032,0.0938234106,200
MS_Fe_270,0.0139441723,0.541118383,0.154204041,200
MS_Fe_271,0.0213547852,2.64971089,0.236410171,200
QC Blank,-0.0019042001,15.4183187,-0.0216023568,200
QC Check 5,0.411656797,0.410012782,4.93930149,200
MS_Fe_272,0.63550669,0.491757214,9.44586945,200
MS_Fe_273,0.0419017337,0.980207205,0.464338005,200
MS_Fe_274,0.0584273823,0.776149929,0.647657454,200
MS_Fe_275,0.0707299188,1.03343856,0.784129798,200
MS_Fe_276,0.0214526318,0.573616505,0.237495586,200
MS_Fe_277,0.0363917537,1.22994542,0.403215647,200
MS_Fe_278,0.0179237109,2.79966331,0.198349178,200
MS_Fe_279,0.0157834608,2.52533889,0.174607322,200
MS_Fe_280,0.0025183088,13.4839125,0.0274566486,200
MS_Fe_281,0.0313131101,0.975217581,0.346878111,200
QC Blank,-0.002667347,15.9274054,-0.0300679654,200
QC Check 5,0.412571728,0.776968062,4.95053864,200
MS_Fe_282,0.0312737375,1.25216258,0.346441358,200
MS_Fe_283,0.0893242955,0.470917583,0.990397692,200
MS_Fe_284,0.0659323111,0.266424239,0.730909824,200
MS_Fe_285,0.132997155,0.805604517,1.49873567,200
MS_Fe_286,0.0575857796,0.421560884,0.638321519,200
MS_Fe_287,0.0271166489,1.83969676,0.300326675,200
MS_Fe_288,0.0379405506,1.06861436,0.420396477,200
MS_Fe_289,0.0774310678,0.235925153,0.858465791,200
MS_Fe_290,0.0658553392,0.877522945,0.730055988,200
MS_Fe_291,0.22455813,0.355153561,2.64975762,200
Blank,-0.0020920828,6.86929512,0,200
Standard 1,0.0835740119,0.888151824,1,200
Standard 2,0.24119702,0.492974341,3,200
Standard 3,0.40324077,0.188408434,5,200
Standard 4,0.508655727,0.451085329,7,200
Standard 5,0.658598602,0.169695735,10,200
QC Check 5,0.407800347,0.741184354,5.05284786,200
MS_Fe_292,0.0915531963,0.966630697,1.09285367,200
MS_Fe_293,0.225210294,0.700611591,2.78408527,200
MS_Fe_294,0.293331653,0.454873383,3.63873529,200
MS_Fe_295,0.0240634307,1.14700222,0.305319309,200
MS_Fe_296,0.538639724,0.508536339,7.514956,200
MS_Fe_297,0.483561039,0.466821164,6.42076683,200
MS_Fe_298,0.0774186775,0.207209647,0.928147376,200
MS_Fe_299,0.0374216549,1.0028379,0.461252928,200
MS_Fe_300,0.104197256,0.232789353,1.24621069,200
MS_Fe_301,0.0411617048,1.26668155,0.504911423,200
QC Blank,-0.002899752,1.73288906,-0.009428109,200
QC Check 5,0.408505291,0.678882241,5.06310177,200
MS_Fe_302,0.354817897,0.604413569,4.39786482,200
MS_Fe_303,0.188972026,1.03404558,2.30780339,200
MS_Fe_304,0.0532706566,0.286635935,0.64626199,200
MS_Fe_305,0.524362564,0.468980312,7.2593503,200
MS_Fe_306,0.43826437,0.261492759,5.53364372,200
MS_Fe_307,0.348376751,0.754048169,4.3179431,200
MS_Fe_308,0.226971433,6.77241278,2.80738926,1000
MS_Fe_309,0.0493326783,0.368267149,0.60029304,200
MS_Fe_310,0.064898096,1.07991612,0.78199172,200
MS_Fe_311,0.143020973,0.418611616,1.72183084,200
QC Blank,-0.0027395189,12.7183151,-0.0075576706,200
QC Check 5,0.407554179,0.87835151,5.04930258,200
MS_Fe_312,0.367881447,0.622714818,4.5599947,200
MS_Fe_313,0.0644238442,0.807091892,0.7764557,200
MS_Fe_314,0.367554426,0.231962398,4.55593538,200
MS_Fe_315,0.0631718189,0.487658501,0.761840522,200
MS_Fe_316,0.237696707,0.825518072,2.95048213,200
MS_Fe_317,0.520867169,0.357054859,7.19770718,200
MS_Fe_318,0.0864564925,0.245888278,1.03201711,200
MS_Fe_319,0.0379630625,1.95977759,0.467572898,200
MS_Fe_320,0.0040634386,4.25330925,0.0718548149,200
MS_Fe_321,0.0144140897,3.33406138,0.192680344,200
QC Blank,-0.0035350411,14.1194,-0.0168439839,200
QC Check 5,0.41007182,0.492216021,5.08630705,200
MS_Fe_322,0.0427676849,1.00323308,0.523658395,200
MS_Fe_323,0.471980453,0.71088618,6.16887569,200
MS_Fe_324,0.224592119,0.640136302,2.77591205,200
