ID,Abs,RSD,ppm,V
Blank,-0.000210067,59.8102798,0,200
Standard 1,0.076985322,0.39724642,1,200
Standard 2,0.226372153,0.676695704,3,200
Standard 3,0.362063855,1.06047404,5,200
Standard 4,0.482580841,0.758323491,7,200
Standard 5,0.629359305,0.066157706,10,200
QC Blank,-0.000912985,34.6162376,-0.009105693,200
QC Check 5,0.360978782,0.721429646,4.98021746,200
MS_Fe_61,0.034383174,0.526594818,0.44812575,200
MS_Fe_62,0.03987959,0.156649679,0.519327104,200
MS_Fe_63,0.134616122,0.228812963,1.75819552,200
MS_Fe_64,0.072265633,0.909780085,0.938860476,200
MS_Fe_65,0.062731296,0.47254616,0.815351307,200
MS_Fe_66,0.043697491,0.459426582,0.568784714,200
MS_Fe_67,0.033569381,1.20285392,0.437583745,200
MS_Fe_68,0.034977634,0.704072475,0.455826461,200
MS_Fe_69,0.030216456,1.33496654,0.394149482,200
MS_Fe_70,0.044446237,1.04523778,0.578484118,200
QC Blank,-0.000869359,31.1314812,-0.00854056,200
QC Check 5,0.361495525,0.259149611,4.98896599,200
MS_Fe_71,0.03601082,0.211843923,0.469210505,200
MS_Fe_72,0.060367949,0.135230184,0.784736216,200
MS_Fe_73,0.009155092,1.36973381,0.121317595,200
MS_Fe_74,0.025850944,1.37254512,0.337598026,200
MS_Fe_75,0.043049086,0.402956814,0.560385168,200
MS_Fe_76,0.025854763,1.29939282,0.337647498,200
MS_Fe_77,0.026132675,2.31665492,0.341247618,200
MS_Fe_78,0.022012716,0.602128088,0.287877083,200
MS_Fe_79,0.026455298,0.805026352,0.345426917,200
MS_Fe_80,0.029934628,1.41281164,0.390498638,200
QC Blank,-0.001200777,20.4678555,-0.012833788,200
QC Check 5,0.360592753,0.41390273,4.97382355,200
MS_Fe_81,0.026394319,1.5637573,0.344636977,200
MS_Fe_82,0.028582845,1.54863715,0.372987449,200
MS_Fe_83,0.074633971,0.57014668,0.969540238,200
MS_Fe_84,0.03136142,0.430798382,0.408981502,200
MS_Fe_85,0.045416325,0.992384374,0.591050744,200
MS_Fe_86,0.087233692,1.58203232,1.13309276,200
MS_Fe_87,0.023492128,1.13715804,0.307041585,200
MS_Fe_88,0.049619764,0.484522998,0.645502687,200
MS_Fe_89,0.056608155,1.38137233,0.736031294,200
MS_Fe_90,0.051580757,1.29065549,0.67090565,200
QC Blank,-0.000776183,9.57973099,-0.007333548,200
QC Check 5,0.362338483,0.266045153,5.00169134,200
MS_Fe_91,0.057769917,0.710280955,0.75108093,200
MS_Fe_92,0.025893537,0.819968462,0.338149786,200
MS_Fe_93,0.008095424,2.6391952,0.107590504,200
MS_Fe_94,0.068093106,0.510897636,0.884808958,200
MS_Fe_95,0.023274558,1.25865066,0.30422315,200
MS_Fe_96,0.044045933,0.101044394,0.573298514,200
MS_Fe_97,0.051010016,0.82462579,0.66351223,200
MS_Fe_98,0.031032993,1.91252601,0.404727012,200
MS_Fe_99,0.030579209,1.30346191,0.398848653,200
MS_Fe_100,0.041090097,0.513266444,0.535008192,200
QC Blank,-0.000762049,29.9819851,-0.007150443,200
QC Check 5,0.358325213,0.912076354,4.93718529,200
MS_Fe_101,0.03348241,0.879104495,0.436457127,200
MS_Fe_102,0.029607778,0.500373363,0.386264592,200
MS_Fe_103,0.025633175,1.06807172,0.334777027,200
MS_Fe_104,0.022817526,1.88241076,0.29830271,200
MS_Fe_105,0.020775741,0.93791163,0.271853119,200
MS_Fe-105_2,0.021221209,0.725547969,0.277623802,200
QC Blank,-0.0004756,31.4150429,-0.003439746,200
QC Check 5,0.359924972,0.380979806,4.96291304,200
