ID,Abs,RSD,ppm,V
Blank,0.000170839,192.658142,0,200
Standard 1,0.080769114,0.206041127,1,200
Standard 2,0.232557446,1.16321993,3,200
Standard 3,0.367739201,0.394593626,5,200
Standard 4,0.490954399,0.291555583,7,200
Standard 5,0.645016074,0.462933034,10,200
QC Blank,0.001681674,1.27608013,0.018745251,200
QC Check 5,0.373675078,0.364664555,5.08107328,200
MS_Fe_61,0.023706123,0.32006368,0.292007297,200
MS_Fe_62,0.026464967,0.791144907,0.326236844,200
MS_Fe_63,0.039861277,2.13058734,0.492447734,200
MS_Fe_64,0.022396237,0.812205136,0.275755256,200
MS_Fe_65,0.028721973,0.378829747,0.35424003,200
MS_Fe_66,0.0227066,1.62086785,0.279605985,200
MS_Fe_67,0.02125299,0.778130054,0.261570752,200
MS_Fe_68,0.016638633,2.62366247,0.204319432,200
MS_Fe_69,0.01983637,1.00279033,0.243994445,200
MS_Fe_70,0.016195161,0.308233291,0.198817194,200
QC Blank,0.002115884,7.56256819,0.024132587,200
QC Check 5,0.37100336,0.533480644,5.04234838,200
MS_Fe_71,0.021044673,2.05527711,0.258986115,200
MS_Fe_72,0.034432825,0.379615307,0.425095767,200
MS_Fe_73,0.020052405,0.44352901,0.246674836,200
MS_Fe_74,0.017796684,0.428291619,0.218687624,200
MS_Fe_75,0.0262565,0.433240652,0.32365036,200
MS_Fe_76,0.016205449,1.32291162,0.198944822,200
MS_Fe_77,0.016640475,0.715125561,0.204342291,200
MS_Fe_78,0.012978232,1.25110555,0.158904046,200
MS_Fe_79,0.01887624,1.20425272,0.232081905,200
MS_Fe_80,0.022489386,1.83612156,0.276910961,200
QC Blank,0.002358973,8.70913696,0.027148649,200
QC Check 5,0.365433753,1.31037307,4.95848513,200
MS_Fe_81,0.01571402,1.06815815,0.192847565,200
MS_Fe_82,0.014736188,1.9705894,0.180715382,200
MS_Fe_83,0.023177305,1.11812508,0.285446137,200
MS_Fe_84,0.033679061,0.463956773,0.415743649,200
MS_Fe_85,0.025049111,1.12649453,0.308670014,200
MS_Fe_86,0.039533272,0.775245547,0.488378108,200
MS_Fe_87,0.01955945,0.934709966,0.240558639,200
MS_Fe_88,0.017641157,1.28989649,0.216757968,200
MS_Fe_89,0.048079647,1.35794866,0.59441483,200
MS_Fe_90,0.018959388,1.18951976,0.233113542,200
QC Blank,0.003480625,5.100317,0.04106522,200
QC Check 5,0.370591074,0.780230105,5.03647184,200
MS_Fe_91,0.018617282,1.13194919,0.228868946,200
MS_Fe_92,0.025639309,1.13217926,0.315992743,200
MS_Fe_93,0.020374177,0.421183527,0.250667125,200
MS_Fe_94,0.035923824,1.44917166,0.443594903,200
MS_Fe_95,0.026068799,1.35974634,0.321321517,200
MS_Fe_96,0.02437509,1.32398021,0.300307304,200
MS_Fe_97,0.023507189,1.17908788,0.289539069,200
MS_Fe_98,0.023324082,1.09489095,0.287267238,200
MS_Fe_99,0.015354479,2.8144114,0.188386664,200
MS_Fe_100,0.022866868,1.71348512,0.281594455,200
QC Blank,0.003528455,6.95922661,0.041658655,200
QC Check 5,0.372630209,0.079137482,5.06582594,200
MS_Fe_101,0.014759829,1.52054381,0.181008711,200
MS_Fe_102,0.022528147,0.629373968,0.277391911,200
MS_Fe_103,0.019644782,1.99479425,0.241617367,200
MS_Fe_104,0.018909263,0.767138004,0.232491612,200
MS_Fe_105,0.017037917,1.45314467,0.209273443,200
MS_Fe_105_2,0.015075686,14.4438276,0.184927613,200
QC Blank,0.003559107,3.76627398,0.042038959,200
QC Check 5,0.375160217,0.653268516,5.10289764,200
