ID,Abs,RSD,ppm,V
Blank,0.000243705,98.0347977,0,200
Standard 1,0.078688383,0.430327952,1,200
Standard 2,0.224580333,0.201582462,3,200
Standard 3,0.353858709,1.41226554,5,200
Standard 4,0.466392934,0.389021665,7,200
Standard 5,0.605978012,0.091549583,10,200
QC Blank,0.000905721,16.7727718,0.008439265,200
QC Check 5,0.350174576,0.542046845,4.93228912,200
MS_Fe_61,0.078382768,0.386469305,0.996104062,200
MS_Fe_62,0.131069914,0.536463559,1.69065285,200
MS_Fe_63,0.02608379,0.905794859,0.329405189,200
MS_Fe_64,0.048170913,0.289509684,0.610968232,200
MS_Fe_65,0.235433668,0.655699551,3.14697552,200
MS_Fe_66,0.22016409,0.539798856,2.93408585,200
MS_Fe_67,0.139084935,0.380096942,1.79750776,200
MS_Fe_68,0.038369458,0.869025588,0.486020893,200
MS_Fe_69,0.129504457,0.827726066,1.66979206,200
MS_Fe_70,0.060275972,0.391999602,0.765281558,200
QC Blank,-0.000157209,110.062454,-0.005110792,200
QC Check 5,0.352650017,1.06029761,4.97566891,200
MS_Fe_71,0.135757148,0.665326774,1.75313294,200
MS_Fe_72,0.081075214,0.42853722,1.02897727,200
MS_Fe_73,0.505708337,0.68530196,7.72046566,200
MS_Fe_74,0.115509532,0.751441061,1.48347676,200
MS_Fe_75,0.039859127,0.757330477,0.505010962,200
MS_Fe_76,0.111792125,0.291541755,1.4340539,200
MS_Fe_77,0.116484731,0.199984416,1.49644744,200
MS_Fe_78,0.079312429,1.06377268,1.00678408,200
MS_Fe_79,0.158909693,0.505121529,2.06733227,200
MS_Fe_80,0.142392278,0.22279413,1.84162211,200
QC Blank,-0.001474188,15.4285345,-0.021899425,200
QC Check 5,0.357110292,0.533746004,5.04343081,200
MS_Fe_81,0.098449662,0.284127653,1.25703454,200
MS_Fe_82,0.019467976,0.546794295,0.24506788,200
MS_Fe_83,0.028290216,0.587413192,0.357532352,200
MS_Fe_84,0.321644574,0.512622297,4.45799494,200
MS_Fe_85,0.197816029,0.643938541,2.61604953,200
MS_Fe_86,0.063922651,0.806862235,0.81176883,200
MS_Fe_87,0.144149393,0.011592211,1.86506355,200
MS_Fe_88,0.038615055,0.18155621,0.489151746,200
MS_Fe_89,0.054980926,1.21397805,0.697781205,200
QC Blank,-0.001844361,10.3770113,-0.026618332,200
QC Check 5,0.357345849,0.202333242,5.04700375,200
MS_Fe_90,0.0244017,1.30328822,0.307962179,200
MS_Fe_91,0.028267628,0.700839221,0.357244402,200
MS_Fe_92,0.07747595,0.186357543,0.984544098,200
MS_Fe_93,0.303817987,0.565668285,4.16591501,200
MS_Fe_94,0.069123089,0.441632479,0.878063202,200
MS_Fe_95,0.215075865,1.16505527,2.86109662,200
MS_Fe_96,0.071862616,0.704696298,0.912986219,200
MS_Fe_97,0.028265914,0.346709013,0.357222557,200
MS_Fe_98,0.119724244,0.645199597,1.53954947,200
MS_Fe_99,0.016799765,0.354870677,0.211053953,200
QC Blank,-0.002098142,18.1603451,-0.029853487,200
QC Check 5,0.356981069,0.467561901,5.0414772,200
MS_Fe_100,0.145861492,0.354908586,1.88790739,200
MS_Fe_101,0.025184354,0.620463192,0.317939341,200
MS_Fe_104,0.135822684,1.09442723,1.75400662,200
MS_Fe_105,0.125991806,0.227375507,1.62299633,200
MS_Fe_105_2,0.125498459,0.466122717,1.6164254,200
MS_Fe_105_3,0.126045972,0.987358868,1.62371778,200
QC Blank,-0.001997107,15.4536886,-0.028565511,200
QC Check 5,0.351996064,0.14784278,4.96398926,200
