ID,Abs,RSD,ppm,V
Blank,0.00053367,54.4815712,0,200
Standard 1,0.0801917464,0.123023704,1,200
Standard 2,0.234931707,0.200735062,3,200
Standard 3,0.359850764,0.256025404,5,200
Standard 4,0.474442214,0.269193679,7,200
Standard 5,0.618931532,0.268977225,10,200
QC Blank,0.0005955014,8.6717453,0.0007762098,200
QC Check 5,0.364431292,0.202860668,5.06395197,200
MS_Fe_242,0.19012475,1.19805157,2.41125059,200
MS_Fe_243,0.200190485,0.579176307,2.54293633,200
MS_Fe_244,0.263025403,0.827554822,3.39256024,200
MS_Fe_245,0.205872774,0.399742723,2.61731791,200
MS_Fe_246,0.291659445,0.834998667,3.813164,200
MS_Fe_247,0.200334579,0.264021784,2.54482222,200
MS_Fe_248,0.279696047,0.432999015,3.63684535,200
MS_Fe_249,0.0677921474,0.910066307,0.844339728,200
MS_Fe_250,0.0838679373,0.41865015,1.04560792,200
MS_Fe_251,0.0656547397,0.856032431,0.817507446,200
QC Blank,0.0012806449,30.604578,0.0093772654,200
QC Check 5,0.356626213,0.542542577,4.93413115,200
MS_Fe_252,0.0193793811,1.25956225,0.236582547,200
MS_Fe_253,0.0849699676,0.729742229,1.05953002,200
MS_Fe_254,0.0663740188,0.517781198,0.826537013,200
MS_Fe_255,0.139686808,0.234584451,1.75714922,200
MS_Fe_256,0.102729209,0.153434038,1.2853272,200
MS_Fe_257,0.0911530629,0.0468705632,1.13795376,200
MS_Fe_258,0.112975888,0.578751862,1.41601479,200
MS_Fe_259,0.117884703,0.658657134,1.47866738,200
MS_Fe_260,0.235404477,0.226284444,3.00273871,200
MS_Fe_261,0.0716095194,0.842502832,0.892261684,200
QC Blank,0.001044677,14.4512672,0.0064150053,200
QC Check 5,0.363537192,0.836412787,5.05031824,200
MS_Fe_262,0.261045188,0.241642907,3.36370492,200
MS_Fe_263,0.234846547,0.813165724,2.99865317,200
MS_Fe_264,0.206395924,0.227197871,2.62416792,200
MS_Fe_265,0.157289848,0.724162996,1.98216188,200
MS_Fe_266,0.114680909,0.563912511,1.4377737,200
MS_Fe_267,0.107725255,1.40574622,1.34902883,200
MS_Fe_268,0.0588422306,0.341379791,0.731985569,200
MS_Fe_269,0.0612426624,0.859440029,0.76211971,200
MS_Fe_270,0.087584503,0.829884171,1.09264481,200
MS_Fe_271,0.091368027,0.605682015,1.1406858,200
QC Blank,0.0013360474,18.1690693,0.0100727696,200
QC Check 5,0.36897558,0.412863731,5.13463831,200
MS_Fe_272,0.227689147,1.3868705,2.9035213,200
MS_Fe_273,0.23259306,0.170617789,2.96830773,200
MS_Fe_274,0.403517455,0.852555335,5.69002581,200
MS_Fe_275,0.411688536,0.704459488,5.8229022,200
MS_Fe_276,0.201474145,0.217340186,2.55973649,200
MS_Fe_277,0.0897000805,0.74448669,1.11949444,200
MS_Fe_278,0.113413267,0.0347540863,1.42159617,200
MS_Fe_279,0.146812961,0.649276495,1.84822619,200
MS_Fe_280,0.0136837894,1.26931238,0.165082067,200
MS_Fe_281,0.197471842,0.517895281,2.50736117,200
QC Blank,0.0021864085,22.5353317,0.0207479093,200
QC Check 5,0.362497628,0.186364159,5.0346818,200
MS_Fe_282,0.0763982162,0.356212556,0.952377319,200
MS_Fe_283,0.068054907,1.18144763,0.847638309,200
MS_Fe_284,0.405253798,0.248803869,5.71823645,200
MS_Fe_285,0.0990096107,0.358634681,1.23793113,200
MS_Fe_286,0.107259288,1.10409117,1.34308589,200
MS_Fe_287,0.174939796,0.428854614,2.21271849,200
MS_Fe_288,0.208611205,0.131603539,2.65317869,200
MS_Fe_289,0.0731802657,0.494859159,0.911980271,200
MS_Fe_290,0.0674584806,0.52717495,0.840150952,200
MS_Fe_291,0.128215373,0.396577239,1.61058629,200
QC Blank,0.0014828425,34.0469246,0.0119155841,200
QC Check 5,0.367647082,0.438132107,5.11380529,200
MS_Fe_292,0.0799379945,1.02956212,0.996814489,200
MS_Fe_293,0.386314094,0.859393597,5.41153765,200
MS_Fe_294,0.134731457,0.168001056,1.69382966,200
MS_Fe_295,0.0908041373,0.534786224,1.13351965,200
MS_Fe_296,0.035951104,0.924818099,0.444618255,200
MS_Fe_297,0.487758696,0.0399205387,7.22274733,200
MS_Fe_298,0.0793281496,0.512706995,0.98915869,200
MS_Fe_299,0.0636387542,0.875077426,0.792199433,200
MS_Fe_300,0.130910411,0.573030651,1.64501262,200
MS_Fe_301,0.0797826946,0.844259083,0.994864881,200
QC Blank,0.0017505154,13.5330505,0.0152758574,200
QC Check 5,0.365261167,0.524655879,5.07671499,200
MS_Fe_302,0.114922106,0.550217509,1.44085205,200
MS_Fe_303,0.233765483,0.379186064,2.98393679,200
MS_Fe_304,0.174741,0.252424121,2.2101202,200
MS_Fe_305,0.0626656562,0.502063453,0.779983521,200
MS_Fe_306,0.0660066158,1.93581879,0.821924746,200
MS_Fe_307,0.0715377554,0.859118283,0.89136076,200
MS_Fe_308,0.0240768697,1.60434878,0.295553207,200
MS_Fe_309,0.0997430161,0.278665006,1.24727392,200
MS_Fe_310,0.0977600887,0.755101621,1.22201681,200
MS_Fe_311,0.120189421,0.636608303,1.50809085,200
QC Blank,0.0021469209,6.87084007,0.0202521943,200
QC Check 5,0.365501791,0.989958882,5.08043146,200
MS_Fe_312,0.181118637,0.981488585,2.29348755,200
MS_Fe_313,0.370992243,0.366147488,5.16643572,200
MS_Fe_314,0.154514834,1.22961974,1.94668281,200
MS_Fe_315,0.0764548331,0.599259019,0.953088105,200
MS_Fe_316,0.166514963,1.013098,2.10261703,200
MS_Fe_317,0.0489378124,0.900230706,0.607648909,200
MS_Fe_318,0.0985419229,0.440994054,1.23197401,200
MS_Fe_319,0.217929259,0.339051664,2.7753005,200
MS_Fe_320,0.0134162949,1.11037219,0.161724031,200
MS_Fe_321,0.148677319,0.678413212,1.87205732,200
QC Blank,0.0021075672,13.3424959,0.0197581612,200
QC Check 5,0.366045803,0.195225492,5.08885622,200
MS_Fe_322,0.113538906,0.881745756,1.42319953,200
MS_Fe_323,0.10315387,0.138561502,1.29074013,200
MS_Fe_324,0.126971677,1.03768003,1.59470069,200
MS_Fe_325,0.223792702,0.432850599,2.85227084,200
MS_Fe_326,0.0752124116,0.832239747,0.937491179,200
MS_Fe_327,0.195252717,0.522442877,2.47832727,200
MS_Fe_328,0.176582649,0.278559059,2.23419189,200
MS_Fe_329,0.162072927,0.434660017,2.04457593,200
MS_Fe_330,0.0168041717,0.528039694,0.20425427,200
MS_Fe_331,0.241224408,0.234478176,3.07939005,200
QC Blank,0.0020583556,3.66812062,0.0191403776,200
QC Check 5,0.367625415,0.208422989,5.11346626,200
MS_Fe_332,0.0114696575,5.21153307,0.137286618,200
