ID,Abs,RSD,ppm,V
Blank,-0.0011634639,65.6846313,0,200
Standard 1,0.0657783151,0.877164721,1,200
Standard 2,0.193540812,1.55988061,3,200
Standard 3,0.299910992,0.774529994,5,200
Standard 4,0.396616995,1.10318804,7,200
Standard 5,0.526634097,1.12441218,10,200
QC Blank,0.0001557823,749.901978,0.0197073668,200
QC Check 5,0.190806463,80.366127,2.95434237,200
QC Check 5,0.30223456,0.623333931,5.03632021,200
MS_Fe_116,0.0553664751,1.78445566,0.844464242,200
MS_Fe_117,0.0336701013,1.58237171,0.520356119,200
MS_Fe_118,0.0713258907,1.31616735,1.08248115,200
MS_Fe_119,0.0262713879,1.18683207,0.409831524,200
MS_Fe_120,0.110600591,0.428198487,1.68405604,200
MS_Fe_121R,0.0180772319,6.31762505,0.287424326,200
MS_Fe_122,0.0732912347,1.09358847,1.11234367,200
MS_Fe_123R,0.0268536173,3.72455382,0.418529093,200
MS_Fe_124R,0.0447828248,2.20404243,0.686361909,200
MS_Fe_125,0.0228743795,3.90450883,0.359085828,200
QC Blank,-0.000097371,341.873016,0.0159256738,200
QC Check 5,0.300616503,0.57478857,5.00864697,200
MS_Fe_126,0.0219030119,4.82184076,0.344575197,200
MS_Fe_127,0.0349261351,0.598223567,0.539119184,200
MS_Fe_128R,0.0557491742,0.617630482,0.850181162,200
MS_Fe_129R,0.0289941728,1.20123935,0.450505465,200
MS_Fe_130,0.154813707,0.537904143,2.37793565,200
MS_Fe_131,0.137275845,0.858673871,2.09843159,200
MS_Fe_132,0.161932334,0.990137696,2.49150395,200
MS_Fe_133,0.0104687456,4.97160769,0.173766062,200
MS_Fe_134,0.212164938,0.62973851,3.30626512,200
MS_Fe_135,0.0344594233,1.41472006,0.532147288,200
QC Check 5,0.30243504,1.49259686,5.03987741,200
QC Blank,0.0023237886,43.7786713,0.0520938113,200
MS_Fe_106R,0.0144713176,5.66120338,0.23355791,200
MS_Fe_107R,0.051240094,1.0176115,0.782822907,200
MS_Fe_108R,0.0322647803,2.85797334,0.499362946,200
MS_Fe_109R,0.0164085906,0.920737386,0.262497574,200
MS_Fe_110,0.0722735301,0.788712144,1.09686971,200
MS_Fe_111R,0.0421735421,0.74600035,0.647383571,200
MS_Fe_112R,0.0406068899,2.04658389,0.623980343,200
MS_Fe_113R,0.0416763388,1.04146707,0.639956117,200
MS_Fe_114R,0.0434293747,1.30548942,0.666143596,200
