ID,ppm
MS_P_81,0.107175
MS_P_82,0.057095
MS_P_83,0.047045
MS_P_84,0.06658
MS_P_87,0.153345
MS_P_88,0.049675
MS_P_89,0.05737
MS_P_90,0.14424
MS_P_91,0.157315
MS_P_92,0.05168
MS_P_93,0.16869
MS_P_94,0.066475
MS_P_96,0.107505
MS_P_97,0.04681
MS_P_98,0.1054
MS_P_99,0.04437
MS_P_100,0.046695
MS_P_101,0.035
MS_P_102,0.312425
MS_P_103,0.14748
MS_P_104,2.076
MS_P_106,0.178965
MS_P_108,0.05842
MS_P_109,0.688
MS_P_110,0.03
MS_P_111,0.173045
MS_P_112,0.10878
MS_P_113,0.062005
MS_P_114,0.17642
MS_P_115,0.05156
MS_P_117,0.033105
MS_P_118,0.08581
MS_P_119,0.458135
MS_P_120,0.20364
MS_P_121,3.5243565
MS_P_122,7.23362325
MS_P_123,8.9906355
MS_P_124,0.04971225
MS_P_125,0.07915425
MS_P_126,0.06599775
MS_P_127,0.034251
MS_P_128,0.05880525
MS_P_129,0.050589
MS_P_130,0.06007575
MS_P_131,0.21507675
MS_P_132,0.4601205
MS_P_133,NA
MS_P_134,NA
MS_P_135,0.31006
MS_P_136,1.3980435
MS_P_137,0.255087
MS_P_138,0.27776175
MS_P_139,0.19278
MS_P_140,8.79285225
MS_P_141,2.27592225
MS_P_142,0.43468
MS_P_143,9.819117
MS_P_144,1.3479795
MS_P_145,2.525418
MS_P_146,0.69702675
MS_P_147,1.0806915
MS_P_148,1.05145425
MS_P_149,1.56084075
MS_P_150,0.529809
MS_P_151,1.002582
MS_P_152,0.325542
MS_P_153,0.224133
MS_P_154,0.1988595
MS_P_155,2.05493925
MS_P_156,1.64736075
MS_P_157,2.44118175
MS_P_158,0.299565
MS_P_159,0.103383
MS_P_160,0.24315375
MS_P_161,2.7068265
MS_P_162,0.16980075
MS_P_163,0.43582875
MS_P_164,0.197988
MS_P_165,0.98782425
MS_P_166,0.33076575
MS_P_167,0.2115435
MS_P_168,2.023728
MS_P_169,0.231294
MS_P_170,0.190344
MS_P_171,1.47665175
MS_P_172,0.4846275
MS_P_173,0.05521425
MS_P_174,0
