ID,ppm
MS_P_81,0
MS_P_82,0
MS_P_83,0
MS_P_84,0
MS_P_87,0
MS_P_88,0
MS_P_89,0
MS_P_90,0
MS_P_91,0
MS_P_92,0
MS_P_93,0
MS_P_94,0
MS_P_96,0
MS_P_97,0
MS_P_98,0
MS_P_99,0
MS_P_100,0
MS_P_101,0
MS_P_102,0
MS_P_103,0
MS_P_104,0
MS_P_106,0
MS_P_108,0
MS_P_109,0
MS_P_110,0
MS_P_111,0
MS_P_112,0
MS_P_113,0
MS_P_114,0
MS_P_115,0
MS_P_117,0
MS_P_118,0
MS_P_119,0
MS_P_120,0
MS_P_121,0.0443
MS_P_122,0.04572
MS_P_123,0.05676
MS_P_124,0.024685
MS_P_125,0.024865
MS_P_126,0
MS_P_127,0
MS_P_128,0
MS_P_129,0
MS_P_130,0
MS_P_131,0.032875
MS_P_132,0.02389
MS_P_133,0.037705
MS_P_134,0
MS_P_135,0
MS_P_136,0.02756
MS_P_137,0
MS_P_138,0
MS_P_139,0.0305
MS_P_140,0.06042
MS_P_141,0.033725
MS_P_142,0.02433
MS_P_143,0.081925
MS_P_144,0.04218
MS_P_145,0.04831
MS_P_146,0.04129
MS_P_147,0.03626
MS_P_148,0.03588
MS_P_149,0.041075
MS_P_150,0.02538
MS_P_151,0.03094
MS_P_152,0.0388
MS_P_153,0.032145
MS_P_154,0.03062
MS_P_155,0.064045
MS_P_156,0.03494
MS_P_157,0.04572
MS_P_158,0.03641
MS_P_159,0
MS_P_160,0.03336
MS_P_161,0.033715
MS_P_162,0.027555
MS_P_163,0.036265
MS_P_164,0.02977
MS_P_165,0.028775
MS_P_166,0.032785
MS_P_167,0.030495
MS_P_168,0.0402
MS_P_169,0.03222
MS_P_170,0.03044
MS_P_171,0.031885
MS_P_172,0.031445
MS_P_173,0.024075
MS_P_174,0.036855
