Sample Number,Name,Acquisition date,RT (Sec),Height (nA),Type,Weight (mg),Sample Description,S34,,,Elemental Composition Sulphur,Elemental Composition 
30,NCS52a-blank-nocup-1.raw,27/3/18 18:40,312.5,0.26, ,0, ,3.45,0,30.86,0.54,0
30,NCS52a-blank-nocup-1.raw,,376,0.19,,,,0.59,0,30.86,,
30,NCS52a-blank-nocup-1.raw,,441.4,0.01,,,,627.53,0,30.86,,
31,NCS52a-blank-1.raw,27/3/18 18:56,238.6,0.2, ,0, ,4.72,0,30.86,0,0
31,NCS52a-blank-1.raw,,450.7,0.13,,,,2.91,0,30.86,,
32,NCS52a-S3-1.raw,27/3/18 19:08,241.3,0.2, ,0.15, ,4.59,0,30.86,9.49,0
32,NCS52a-S3-1.raw,,303.7,1.7,,,,-27.79,0,30.86,,
32,NCS52a-S3-1.raw,,454,0.13,,,,4.23,0,30.86,,
33,NCS52a-S3-2.raw,27/3/18 19:17,238.3,0.17, ,0.12, ,4.81,0,30.86,10.01,0
33,NCS52a-S3-2.raw,,300,1.45,,,,-27.8,0,30.86,,
33,NCS52a-S3-2.raw,,449.7,0.11,,,,4.88,0,30.86,,
34,NCS52a-S3-3.raw,27/3/18 19:27,239.2,0.15, ,0.11, ,4.82,0,30.86,10.09,0
34,NCS52a-S3-3.raw,,301.7,1.31,,,,-27.91,0,30.86,,
34,NCS52a-S3-3.raw,,451.6,0.1,,,,6.07,0,30.86,,
35,NCS52a-blank-2.raw,27/3/18 19:36,238.9,0.13, ,0, ,5.9,0,30.86,0,0
35,NCS52a-blank-2.raw,,301.1,0.04,,,,-23.58,0,30.86,,
35,NCS52a-blank-2.raw,,453.2,0.08,,,,4.83,0,30.86,,
36,NCS52a-CP-1-1.raw,27/3/18 19:46,239.2,0.14, ,0.06, ,6.32,0,30.86,23.75,0
36,NCS52a-CP-1-1.raw,,301.6,1.75,,,,-1.41,0,30.86,,
36,NCS52a-CP-1-1.raw,,451,0.08,,,,6.04,0,30.86,,
37,NCS52a-CP-1-2.raw,27/3/18 19:55,239.4,0.14, ,0.07, ,6.69,0,30.86,26.94,0
37,NCS52a-CP-1-2.raw,,300.5,2.16,,,,-0.91,0,30.86,,
38,NCS52a-CP-1-3.raw,27/3/18 20:06,239,0.14, ,0.06, ,7.37,0,30.86,29.56,0
38,NCS52a-CP-1-3.raw,,300.6,2.13,,,,-0.97,0,30.86,,
38,NCS52a-CP-1-3.raw,,450.4,0.09,,,,6.75,0,30.86,,
39,NCS52a-blank-3.raw,27/3/18 20:19,243.4,0.15, ,0, ,8.17,0,30.86,0,0
39,NCS52a-blank-3.raw,,304.8,0.05,,,,-1.27,0,30.86,,
40,NCS52a-May-Baker-1.raw,27/3/18 20:27,238.8,0.13, ,0.17, ,8.41,0,30.86,10.87,0
40,NCS52a-May-Baker-1.raw,,300.9,2.15,,,,19.26,0,30.86,,
41,NCS52a-May-Baker-2.raw,27/3/18 20:36,239.1,0.12, ,0.14, ,9.06,0,30.86,10.08,0
41,NCS52a-May-Baker-2.raw,,301.7,1.67,,,,19.52,0,30.86,,
42,NCS52a-May-Baker-3.raw,27/3/18 20:44,239.9,0.11, ,0.12, ,9.35,0,30.86,11.83,0
42,NCS52a-May-Baker-3.raw,,302.9,1.63,,,,19.63,0,30.86,,
43,NCS52a-blank-3a.raw,27/3/18 20:53,239.4,0.1, ,0, ,9.9,0,30.86,0.02,0
43,NCS52a-blank-3a.raw,,301.4,0.08,,,,18.09,0,30.86,,
44,NCS52a-sws-3B-1.raw,27/3/18 21:01,239.2,0.1, ,0.15, ,9.92,0,30.86,9.73,0
44,NCS52a-sws-3B-1.raw,,302.1,1.79,,,,23.2,0,30.86,,
45,NCS52a-sws-3B-2.raw,27/3/18 21:09,238.3,0.09, ,0.14, ,10.44,0,30.86,10.79,0
45,NCS52a-sws-3B-2.raw,,301.6,1.84,,,,23.68,0,30.86,,
46,NCS52a-sws-3B-3.raw,27/3/18 21:18,239.5,0.09, ,0.1, ,10.11,0,30.86,11.38,0
46,NCS52a-sws-3B-3.raw,,302.2,1.48,,,,23.6,0,30.86,,
47,NCS52a-blank-4.raw,27/3/18 21:26,238.7,0.08, ,0, ,9.62,0,30.86,0,0
47,NCS52a-blank-4.raw,,300.5,0.06,,,,21.37,0,30.86,,
48,NCS52a-Fe71-1.raw,27/3/18 21:35,238.1,0.08, ,0.13, ,9.88,0,30.86,8.69,0
48,NCS52a-Fe71-1.raw,,300.4,1.39,,,,-2.83,0,30.86,,
49,NCS52a-Fe71-2.raw,27/3/18 21:43,303,2.29, ,0.18, ,-2.07,0,30.86,11.15,0
50,NCS52a-Fe86-1.raw,27/3/18 21:52,300.8,1.97, ,0.15, ,-19.54,0,30.86,10.75,0
51,NCS52a-Fe86-2.raw,27/3/18 22:00,300.2,2.14, ,0.16, ,-20.39,0,30.86,11.33,0
52,NCS52a-Fe96-1.raw,27/3/18 22:08,240.7,0.06, ,0.12, ,8.2,0,30.86,11.03,0
52,NCS52a-Fe96-1.raw,,301.9,1.57,,,,-21.11,0,30.86,,
53,NCS52a-Fe96-2.raw,27/3/18 22:17,238.5,0.06, ,0.12, ,7.29,0,30.86,10.26,0
53,NCS52a-Fe96-2.raw,,301.1,1.41,,,,-21.05,0,30.86,,
54,NCS52a-Fe79-1.raw,27/3/18 22:25,299.6,2.15, ,0.18, ,-39.36,0,30.86,10.43,0
55,NCS52a-Fe79-2.raw,27/3/18 22:34,302.2,1.87, ,0.16, ,-39.68,0,30.86,10.09,0
56,NCS52a-Fe80-1.raw,27/3/18 22:42,299.4,2.18, ,0.18, ,-29.3,0,30.86,10.79,0
57,NCS52a-Fe80-2.raw,27/3/18 22:50,300.8,2.33, ,0.17, ,-28.99,0,30.86,11.59,0
58,NCS52a-Fe88-1.raw,27/3/18 22:59,254.4,0.05, ,0.1, ,5.97,0,30.86,10.87,0
58,NCS52a-Fe88-1.raw,,316.8,1.16,,,,-21.12,0,30.86,,
59,NCS52a-Fe88-2.raw,27/3/18 23:07,303.1,1.29, ,0.1, ,-19.64,0,30.86,11.04,0
60,NCS52a-Fe103-1.raw,27/3/18 23:16,315.8,2.17, ,0.18, ,-14.87,0,30.86,10.2,0
61,NCS52a-Fe103-2.raw,27/3/18 23:25,300.2,1.8, ,0.13, ,-14.2,0,30.86,11.52,0
62,NCS52a-Fe87-1.raw,27/3/18 23:33,300.2,2.27, ,0.18, ,-25.34,0,30.86,10.83,0
63,NCS52a-Fe87-2.raw,27/3/18 23:41,302.7,1.66, ,0.13, ,-24.86,0,30.86,11.05,0
64,NCS52a-Fe92-1.raw,27/3/18 23:50,301.6,1.46, ,0.12, ,-24.89,0,30.86,10.45,0
65,NCS52a-Fe92-2.raw,27/3/18 23:58,301.4,1.44, ,0.13, ,-24.42,0,30.86,9.61,0
66,NCS52a-Fe95-1.raw,28/3/18 0:07,303.5,1.11, ,0.16, ,-22.95,0,30.86,6.43,0
67,NCS52a-Fe95-2.raw,28/3/18 0:15,300.6,1.71, ,0.11, ,-21.72,0,30.86,14.33,0
68,NCS52a-blank-5.raw,28/3/18 0:24,239.2,0.04, ,0, ,8.09,0,30.86,0.11,0
68,NCS52a-blank-5.raw,,301.3,0.11,,,,-18.64,0,30.86,,
69,NCS52a-S3-4.raw,28/3/18 0:32,302.2,2.06, ,0.17, ,-27.08,0,30.86,10.49,0
70,NCS52a-S3-5.raw,28/3/18 0:40,301.2,1.32, ,0.1, ,-26.73,0,30.86,11.42,0
71,NCS52a-S3-6.raw,28/3/18 0:49,300.7,1.45, ,0.12, ,-26.92,0,30.86,10.94,0
72,NCS52a-blank-6.raw,28/3/18 0:57,240.8,0.03, ,0, ,8.64,0,30.86,0,0
72,NCS52a-blank-6.raw,,303.4,0.08,,,,-22.99,0,30.86,,
73,NCS52a-CP-1-4.raw,28/3/18 1:06,302.3,2.3, ,0.08, ,-0.75,0,30.86,26.76,0
74,NCS52a-CP-1-5.raw,28/3/18 1:14,301.8,1.64, ,0.05, ,-0.33,0,30.86,30.08,0
75,NCS52a-blank-7.raw,28/3/18 1:23,240,0.03, ,0, ,10.16,0,30.86,0.03,0
75,NCS52a-blank-7.raw,,302.2,0.08,,,,-0.79,0,30.86,,
76,NCS52a-May-Baker-4.raw,28/3/18 1:31,303.8,1.81, ,0.15, ,19.74,0,30.86,10.11,0
77,NCS52a-May-Baker-5.raw,28/3/18 1:40,307.4,2.28, ,0.18, ,20.49,0,30.86,11.48,0
78,NCS52a-blank-8.raw,28/3/18 1:48,238.8,0.03, ,0, ,10.2,0,30.86,0.01,0
78,NCS52a-blank-8.raw,,301.2,0.08,,,,17.17,0,30.86,,
79,NCS52a-sws-3B-4.raw,28/3/18 1:57,301.5,1.23, ,0.11, ,23.61,0,30.86,10.36,0
80,NCS52a-sws-3B-5.raw,28/3/18 2:05,300,2.3, ,0.17, ,24.56,0,30.86,11.35,0
81,NCS52a-blank-9.raw,28/3/18 2:14,238.4,0.03, ,0, ,9.22,0,30.86,0.09,0
81,NCS52a-blank-9.raw,,301,0.13,,,,21.73,0,30.86,,
82,NCS52a-Fe85-1.raw,28/3/18 2:22,306.5,2.03, ,0.18, ,-29.8,0,30.86,9.85,0
83,NCS52a-Fe85-2.raw,28/3/18 2:31,301.1,2.07, ,0.16, ,-30.61,0,30.86,10.91,0
84,NCS52a-Fe90-1.raw,28/3/18 2:39,301.9,1.63, ,0.14, ,-3.21,0,30.86,10.19,0
85,NCS52a-Fe90-2.raw,28/3/18 2:48,301.9,1.44, ,0.12, ,-0.21,0,30.86,10.98,0
