Name,Description,Method,Weight,Sulfur,Carbon,Moisture %,Operator,Date,Low Sulfur,High Sulfur,Carbon Peak,Carbon Time,Carbon Area,Sulfur Area,Sulfur Peak,Sulfur Time,Low Sulfur Peak,Low Sulfur Area,Low Sulfur Time,High Sulfur Peak,High Sulfur Area,High Sulfur Time,Sulfur Cell,Analysis Time
Blank,,TOC analysis (soils),1,-0.00024587,0.0023781,,Martin,08/31/16 09:28 AM,-0.00024587,0,0.012055,60,-0.012733,-0.022631,0,60,0,-0.022631,60,0,-0.14708,60,Auto Low,60
Blank,,TOC analysis (soils),1,-3.7081E-05,0.006606,,Martin,08/31/16 09:32 AM,-3.7081E-05,0,0.013886,60,0.025194,-0.0042254,0,60,0,-0.0042254,60,0.00076295,-0.030459,60,Auto Low,60
Blank,,TOC analysis (soils),1,3.3913E-06,0.0099814,,Martin,08/31/16 09:34 AM,3.3913E-06,0,0.018769,60,0.055473,-0.00065762,0.0016785,60,0.0016785,-0.00065762,60,0.0015259,-0.009882,60,Auto Low,60
Blank,,TOC analysis (soils),1,3.1558E-06,0.0054583,,Martin,08/31/16 09:37 AM,3.1558E-06,0,0.01236,60,0.014899,-0.00067837,0.0016785,60,0.0016785,-0.00067837,60,0.0016785,-0.0042462,60,Auto Low,60
Blank,,TOC analysis (soils),1,4.8269E-06,0.008334,,Martin,08/31/16 09:39 AM,4.8269E-06,0,0.018463,60,0.040696,-0.00053106,0.0028992,59,0.0028992,-0.00053106,59,0.0010681,-0.027965,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.0301,-0.00040726,1.1939,,Martin,08/31/16 09:42 AM,-0.00040726,0,0.086519,60,0.2883,-0.0020372,0.0016785,59,0.0016785,-0.0020372,59,0.00030518,-0.033547,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.0601,5.0646E-05,1.0859,,Martin,08/31/16 09:45 AM,5.0646E-05,0,0.15198,60,0.55138,-0.00068824,0.0016785,60,0.0016785,-0.00068824,60,0,-0.038282,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.1199,0.0001819,0.97077,,Martin,08/31/16 09:47 AM,0.0001819,0,0.36408,60,1.0101,0.00096598,0.0024414,60,0.0024414,0.00096598,60,0.0010681,-0.019795,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.1502,0.00016706,0.95802,,Martin,08/31/16 09:50 AM,0.00016706,0,0.42985,60,1.2568,0.0012554,0.0036622,60,0.0036622,0.0012554,60,0.0018311,0.0011728,60,Auto Low,60
0.926%C 0.016%S,,TOC analysis (soils),0.2099,-5.2827E-05,0.96474,,Martin,08/31/16 09:53 AM,-5.2827E-05,0,0.57084,60,1.7825,-0.001934,0.0010681,60,0.0010681,-0.001934,60,0.00076295,-0.02419,60,Auto Low,60
