ID,P,Al,Fe,Mn,Ba
MS_TD_50,1.08E-01,2.08E+01,1.48E+01,6.86E-02,1.99E-01
MS_TD_51,7.59E+00,4.49E+01,5.65E+01,2.24E-01,1.25E-01
MS_TD_52,1.30E-01,2.79E+01,1.66E+01,4.28E-02,1.46E-01
MS_TD_53,1.43E+00,2.25E+01,1.31E+01,1.95E+00,1.10E-01
MS_TD_54,1.57E-01,4.41E+01,2.27E+01,2.79E-01,1.44E-01
MS_TD_55,1.83E-01,3.43E+01,1.85E+01,1.87E-01,1.23E-01
MS_TD_56,1.46E-01,1.85E+01,8.39E+00,4.51E-02,1.57E-01
MS_TD_57,1.36E-01,3.61E+01,2.21E+01,2.78E-01,1.33E-01
MS_TD_58,1.68E-01,3.81E+01,2.28E+01,3.74E-01,1.55E-01
MS_TD_59,8.71E-02,2.02E+01,9.78E+00,4.48E-02,8.70E-02
MS_TD_60,1.07E-01,1.69E+01,6.51E+00,3.74E-02,1.23E-01
MS_TD_61,5.59E+00,2.22E+01,4.58E+01,1.27E+00,4.09E-02
MS_TD_62,1.53E-01,4.65E+01,2.31E+01,8.02E-01,1.35E-01
MS_TD_63,7.30E+00,2.13E+01,4.05E+01,9.22E-01,3.69E-02
MS_TD_64,1.02E-01,1.42E+01,1.03E+01,6.21E-02,2.76E-01
MS_TD_65,4.92E-02,9.34E+00,3.36E+00,NA,5.21E-02
MS_TD_66,1.10E-01,1.86E+01,9.95E+00,1.18E-01,6.68E-02
MS_TD_67,2.60E-01,3.04E+01,3.47E+01,9.30E-01,8.61E-02
MS_TD_68,1.05E-01,2.15E+01,9.03E+00,2.72E-02,1.21E-01
MS_TD_69,1.96E-01,2.97E+01,1.98E+01,4.68E-01,1.08E-01
MS_TD_70,9.19E-02,1.51E+01,1.26E+01,4.66E-02,1.43E-01
MS_TD_71,1.18E-01,1.27E+01,7.74E+00,5.65E-02,7.15E-02
MS_TD_72,1.47E-01,4.24E+01,2.26E+01,1.56E-01,1.86E-01
MS_TD_73,2.61E-01,2.04E+01,9.18E+00,1.58E-01,9.88E-02
MS_TD_74,1.12E-01,2.12E+01,8.63E+00,3.17E-02,1.52E-01
MS_TD_75,9.07E-02,1.81E+01,1.12E+01,6.51E-02,8.15E-02
MS_TD_76,8.17E-02,1.82E+01,8.70E+00,4.47E-02,8.70E-02
MS_TD_77,2.38E+00,3.12E+01,2.12E+01,1.81E+00,NA
MS_TD_78,8.89E-02,1.74E+01,9.86E+00,4.65E-02,8.69E-02
MS_TD_79,1.35E-01,2.19E+01,7.99E+00,7.76E-02,1.16E-01
MS_TD_80,1.16E-01,1.54E+01,8.85E+00,4.51E-02,1.24E-01
MS_TD_81,1.68E-01,3.78E+01,2.03E+01,2.16E-01,1.21E-01
MS_TD_82,9.01E-02,1.51E+01,7.88E+00,4.17E-02,8.33E-02
MS_TD_83,9.65E-02,1.39E+01,1.03E+01,3.91E-02,6.67E-02
MS_TD_84,8.46E-02,1.14E+01,8.59E+00,7.37E-02,7.62E-02
MS_TD_85,1.53E-01,1.74E+01,7.51E+00,7.56E-02,1.07E-01
MS_TD_86,9.23E-02,1.42E+01,9.79E+00,4.18E-02,1.32E-01
MS_TD_87,8.46E-02,1.67E+01,6.40E+00,3.03E-02,7.73E-02
MS_TD_88,1.45E-01,1.77E+01,9.55E+00,4.95E-02,1.10E-01
MS_TD_89,1.71E-01,9.21E+00,5.95E+00,7.27E-01,8.26E-02
MS_TD_90,4.72E-01,3.27E+01,2.03E+01,3.50E-01,2.29E-01
MS_TD_91,4.77E-01,3.23E+01,2.02E+01,3.46E-01,2.43E-01
MS_TD_92,4.72E-01,3.25E+01,2.00E+01,3.43E-01,2.45E-01
MS_TD_93,7.18E-01,4.90E+01,3.04E+01,5.25E-01,3.43E-01
MS_TD_94,7.16E-01,4.93E+01,3.03E+01,5.19E-01,3.44E-01
MS_TD_95,7.14E-01,4.88E+01,2.99E+01,5.20E-01,3.50E-01
MS_TD_96,9.58E-01,6.60E+01,4.05E+01,6.96E-01,4.77E-01
MS_TD_97,9.65E-01,6.54E+01,4.05E+01,7.11E-01,4.73E-01
MS_TD_98,9.87E-01,6.71E+01,4.15E+01,7.20E-01,4.94E-01
MS_TD_99,NA,NA,NA,NA,NA
MS_TD_150,4.78E-01,3.29E+01,2.02E+01,3.57E-01,2.40E-01
MS_TD_151,6.01E-01,4.14E+01,2.53E+01,4.45E-01,2.96E-01
MS_TD_152,7.57E-01,5.17E+01,3.19E+01,5.56E-01,3.77E-01
MS_TD_153,1.38E-01,1.14E+01,1.09E+01,NA,5.38E-02
MS_TD_154,2.53E-01,2.32E+01,8.96E+00,NA,9.46E-02
MS_TD_155,8.94E-02,9.27E+00,5.39E+00,3.76E-02,5.39E-02
MS_TD_156,1.40E-01,2.08E+01,1.00E+01,NA,1.24E-01
MS_TD_157,2.22E-01,1.64E+01,1.03E+01,3.54E-02,1.09E-01
MS_TD_158,1.42E-01,1.32E+01,1.10E+01,NA,6.57E-02
