section ID;height (m);P[tot](wt. %);Al[tot](wt. %);Fe[tot](wt. %);Mo[tot](µg/g);Re[tot](ng/g);U[tot](µg/g);Fe[carb](wt. %);Fe[ox](wt. %);Fe[mag](wt. %);Fe[py](wt. %);Fe[PR](wt. %);P[ox1](wt. %);P[ox2](wt. %);P[aut](wt. %);P[det](wt. %);P[mag](wt. %);P[org](wt. %);TOC(wt. %);δ13C[TOC];δ34S[py]
DD-1-1;99.41;0.45;1.39;2.84;0.29;4.77;2.80;0.394;0.059;0.112;0.329;1.831;0.0015;0.0002;0.0848;0.3636;NA;0.0008;0.26;-28.0;-6.8
DD-1-3;99.15;0.44;1.03;2.25;0.49;6.94;2.47;0.822;0.092;0.087;0.258;1.533;0.0019;0.0002;0.0632;0.4008;0.0129;0.0008;NA;-27.4;-7.8
DD-1-2;98.67;0.36;0.63;2.34;0.43;4.70;2.01;1.178;0.071;0.030;0.283;1.751;0.0029;0.0002;0.0193;0.3590;0.0086;0.0005;0.13;-27.5;-3.8
DD-1-5;98.19;0.43;1.12;3.35;1.47;11.38;2.95;1.173;0.109;0.108;0.312;2.663;0.0022;0.0002;0.0511;0.3848;0.0094;0.0005;0.17;-27.9;-10.8
DD-1-4;97.58;1.11;1.86;4.33;0.73;44.04;11.05;0.191;0.115;0.266;0.413;3.523;0.0032;0.0005;0.1653;0.9181;0.0544;0.0005;0.04;-27.1;-8.0
DD-1-7;97.20;0.54;1.85;3.43;0.35;9.90;4.64;0.136;0.062;0.210;0.224;2.456;0.0027;0.0002;0.1928;0.3766;0.0081;0.0006;0.16;-27.4;-16.7
DD-1-6;96.56;0.50;1.95;3.95;0.27;8.06;3.41;0.081;0.065;0.150;0.419;2.667;0.0014;0.0002;0.1822;0.3259;0.0077;0.0008;0.14;-27.9;-9.1
DD-1-9;95.86;2.63;1.29;2.77;0.43;23.48;12.24;0.086;0.128;0.458;0.243;2.067;0.0094;0.0003;0.4739;2.2673;0.0502;0.0007;0.27;-28.0;NA
DD-1-8;95.26;0.33;1.43;3.00;NA;4.39;2.46;0.082;0.053;0.173;0.238;2.467;0.0019;0.0002;0.1690;0.1869;0.0054;0.0005;0.14;-27.9;-15.1
DD-1-11;95.16;0.33;1.34;2.76;0.25;5.42;2.30;0.067;0.051;0.147;0.335;1.950;0.0018;0.0002;0.1635;0.1532;0.0057;0.0005;0.12;-27.8;-5.6
