section ID;P[tot](wt. %);Al[tot](wt. %);Fe[tot](wt. %);Mo[tot](µg/g);Re[tot](ng/g);U[tot](µg/g);Fe[carb](wt. %);Fe[ox](wt. %);Fe[mag](wt. %);Fe[PR](wt. %);P[ox1](wt. %);P[ox2](wt. %);P[aut](wt. %);P[det](wt. %);P[mag](wt. %);P[org](wt. %)
C165 64m;NA;NA;NA;NA;NA;NA;0.778;0.321;NA;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.604;0.096;0.520;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.041;0.013;0.024;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.559;0.058;0.092;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.556;0.057;0.105;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.047;0.021;0.027;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.592;0.100;0.581;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.570;0.079;0.538;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.038;0.006;0.024;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.495;0.047;0.108;NA;NA;NA;NA;NA;NA;NA
C165 64m;NA;NA;NA;NA;NA;NA;0.808;0.333;0.836;NA;NA;NA;NA;NA;NA;NA
C165 64m;NA;NA;NA;NA;NA;NA;0.822;0.325;NA;NA;NA;NA;NA;NA;NA;NA
C165 64m;NA;NA;NA;NA;NA;NA;0.806;0.338;NA;NA;NA;NA;NA;NA;NA;NA
KL133;NA;NA;NA;NA;NA;NA;0.112;0.041;0.173;NA;NA;NA;NA;NA;NA;NA
KL133;NA;NA;NA;NA;NA;NA;0.111;0.042;NA;NA;NA;NA;NA;NA;NA;NA
KL133;NA;NA;NA;NA;NA;NA;0.131;0.044;NA;NA;NA;NA;NA;NA;NA;NA
WHIT-1 TEST;NA;NA;NA;NA;NA;NA;0.587;0.078;0.109;NA;NA;NA;NA;NA;NA;NA
WHIT-1 TEST;NA;NA;NA;NA;NA;NA;0.585;0.081;0.106;NA;NA;NA;NA;NA;NA;NA
WHIT-1 TEST;NA;NA;NA;NA;NA;NA;0.622;0.089;0.104;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.571;0.103;0.625;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.557;0.102;0.637;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.562;0.098;0.613;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.573;0.084;0.111;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.533;0.087;0.102;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.559;0.072;0.105;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.053;0.010;0.028;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.049;0.010;0.028;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.054;0.009;0.027;NA;NA;NA;NA;NA;NA;NA
C165 64m;NA;NA;NA;NA;NA;NA;0.767;0.347;0.811;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.519;0.115;0.080;NA;NA;NA;NA;NA;NA;NA
KL133;NA;NA;NA;NA;NA;NA;0.118;NA;0.169;NA;NA;NA;NA;NA;NA;NA
WHIT-1 TEST;NA;NA;NA;NA;NA;NA;0.520;0.093;0.110;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.541;0.107;0.627;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.050;0.002;0.025;NA;NA;NA;NA;NA;NA;NA
KL133;NA;NA;NA;NA;NA;NA;0.105;0.040;0.147;NA;NA;NA;NA;NA;NA;NA
C165 64m;NA;NA;NA;NA;NA;NA;0.779;0.324;0.761;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;0.046;0.004;0.026;NA;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;0.539;0.059;0.096;NA;NA;NA;NA;NA;NA;NA
WHIT-1 TEST;NA;NA;NA;NA;NA;NA;0.564;0.059;0.101;NA;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;0.550;0.096;0.515;NA;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.454;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.955;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.907;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.802;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.142;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.613;NA;NA;NA;NA;NA;NA
KL134;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.654;NA;NA;NA;NA;NA;NA
BHW;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.406;NA;NA;NA;NA;NA;NA
WHIT;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.895;NA;NA;NA;NA;NA;NA
