section ID;P[tot](wt. %);Al[tot](wt. %);Fe[tot](wt. %);Mo[tot](µg/g);Re[tot](ng/g);U[tot](µg/g);Fe[carb](wt. %);Fe[ox](wt. %);Fe[mag](wt. %);Fe[PR](wt. %);P[ox1](wt. %);P[ox2](wt. %);P[aut](wt. %);P[det](wt. %);P[mag](wt. %);P[org](wt. %)
SBC-1;0.15;10.48;6.48;2.55;14.24;5.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.37;6.42;2.49;13.80;5.32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.47;6.42;3.18;19.28;7.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.39;6.37;2.26;13.37;5.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.42;6.40;2.25;13.47;5.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.40;6.45;2.73;14.02;5.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.75;6.61;2.11;13.42;5.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.21;6.38;2.19;13.21;5.20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.31;6.40;2.24;15.16;5.17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;9.68;6.20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.71;6.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.54;6.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;9.93;6.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.15;6.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;9.43;6.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;9.39;6.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.22;6.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;9.88;6.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.33;6.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;9.42;6.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.13;6.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.65;6.70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.64;6.71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.27;6.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.70;6.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.36;6.43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.42;6.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.66;6.70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.66;6.69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.70;6.70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.59;6.95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.62;6.92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.47;6.91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.34;6.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.42;6.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;11.65;6.90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SGR 1b;0.12;3.70;2.10;38.63;35.49;5.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SGR 1b;0.12;3.13;1.86;38.84;35.08;5.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SGR 1b;0.12;3.44;2.02;38.72;36.75;5.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.43;6.43;3.48;13.49;5.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.44;6.82;2.74;14.53;5.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.32;6.42;2.24;13.54;5.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.42;6.39;4.81;14.47;5.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.45;6.37;2.20;13.38;5.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.51;6.42;2.21;12.99;5.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.32;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.16;10.53;6.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.30;6.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.36;6.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.11;6.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.34;6.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.41;6.43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.50;6.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBC-1;0.15;10.39;6.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
